DCOMIRIS,HOSPITALm2,Sum of HOSPITAL_employee,HOSPITAL_customer,FITNESS_m2,FITNESS_employee,FITNESS_customers,PUBS_m2,PUBS_employee,PUBS_employee2,PUBS_customers,CINEMA_m2,CINEMA_employee,CINEMA_customers,MUSEUM_m2,MUSEUM_employee,MUSEUM_customers,SUM_lesiure,size
670010000,,0,0.0,297.5,3.1,66.9,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,66.9,67
670020000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
670030000,,0,0.0,2183.9,18.2,491.4,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,491.4,492
670040000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670050000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
670060000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670080000,,0,0.0,174.1,4.0,39.2,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,39.2,40
670090000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670100000,,0,0.0,47.1,2.0,10.6,791.0,15.1,15.1,1297.2,,0.0,0.0,,0.0,0.0,1307.8,1308
670110000,,0,0.0,1.5,1.0,0.3,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.3,1
670120000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670130000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670160000,,0,0.0,350.0,2.8,78.8,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,78.8,79
670170000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670180000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670190000,,0,0.0,32.4,2.0,7.3,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,7.3,8
670200000,,0,0.0,3.6,1.0,0.8,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.8,1
670210101,,0,0.0,239.8,2.8,54.0,1295.7,25.3,25.3,2124.9,,0.0,0.0,420.5,7.0,84.1,2262.9,2263
670210102,,0,0.0,153.9,4.0,34.6,70.5,1.3,1.3,115.6,,0.0,0.0,,0.0,0.0,150.3,151
670220000,,0,0.0,1235.7,9.9,278.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,278.0,279
670230000,,0,0.0,1156.0,12.6,260.1,94.8,1.8,1.8,155.4,,0.0,0.0,,0.0,0.0,415.5,416
670250000,,0,0.0,25.9,1.0,5.8,501.2,9.4,9.4,821.9,,0.0,0.0,,0.0,0.0,827.7,828
670260000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
670270000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
670280000,3593.8,48.9664751,127.0,3436.2,31.6,773.1,1314.2,24.9,24.9,2155.3,1000.0,8.3,450.0,,0.0,0.0,3378.5,3379
670290000,,0,0.0,,0.0,0.0,311.6,5.9,5.9,511.1,,0.0,0.0,,0.0,0.0,511.1,512
670300000,,0,0.0,215.6,2.2,48.5,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,48.5,49
670310000,,0,0.0,25.3,1.0,5.7,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,5.7,6
670320000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670330000,,0,0.0,72.4,1.0,16.3,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,16.3,17
670340000,,0,0.0,19.0,1.0,4.3,79.4,1.5,1.5,130.1,,0.0,0.0,,0.0,0.0,134.4,135
670350000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670360000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670370000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670380000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670390000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670400000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670430101,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
670430102,,0,0.0,1123.3,9.0,252.7,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,252.7,253
670430103,,0,0.0,,0.0,0.0,480.0,9.0,9.0,787.2,,0.0,0.0,,0.0,0.0,787.2,788
670430104,,0,0.0,742.9,6.0,167.2,560.0,10.5,10.5,918.4,,0.0,0.0,,0.0,0.0,1085.5,1086
670430201,,0,0.0,,0.0,0.0,800.0,15.0,15.0,1312.0,,0.0,0.0,,0.0,0.0,1312.0,1312
670430202,,0,0.0,887.1,7.1,199.6,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,462.0,462
670430203,,0,0.0,,0.0,0.0,543.4,10.2,10.2,891.1,,0.0,0.0,,0.0,0.0,891.1,892
670430204,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
670440000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670450000,,0,0.0,107.3,4.0,24.1,171.3,3.5,3.5,281.0,,0.0,0.0,,0.0,0.0,305.1,306
670460101,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670460102,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670460103,,0,0.0,40.3,1.0,9.1,36.9,1.0,1.0,60.5,,0.0,0.0,,0.0,0.0,69.6,70
670460104,,0,0.0,267.6,2.1,60.2,,0.0,0.0,0.0,,0.0,0.0,248.3,4.1,49.7,109.9,110
670460105,,0,0.0,601.6,5.3,135.4,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,135.4,136
670470000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670480000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670490000,,0,0.0,,0.0,0.0,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,524.8,525
670500000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670510000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670520000,,0,0.0,120.0,3.0,27.0,359.0,7.4,7.4,588.7,,0.0,0.0,,0.0,0.0,615.7,616
670530000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670540000,,0,0.0,444.6,3.8,100.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,100.0,101
670550000,,0,0.0,339.8,2.7,76.5,80.4,1.5,1.5,131.9,,0.0,0.0,,0.0,0.0,208.4,209
670560000,,0,0.0,211.8,1.7,47.7,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,47.7,48
670570000,,0,0.0,77.5,1.0,17.4,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,17.4,18
670580000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670590000,,0,0.0,,0.0,0.0,65.0,1.2,1.2,106.6,,0.0,0.0,,0.0,0.0,106.6,107
670600000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670610000,,0,0.0,3881.2,36.0,873.3,409.2,7.7,7.7,671.1,,0.0,0.0,,0.0,0.0,1544.4,1545
670620000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670630000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670650000,,0,0.0,,0.0,0.0,118.9,3.2,3.2,195.1,,0.0,0.0,,0.0,0.0,195.1,196
670660000,,0,0.0,1213.7,11.8,273.1,233.4,4.4,4.4,382.8,,0.0,0.0,,0.0,0.0,655.9,656
670670101,,0,0.0,1779.6,21.5,400.4,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,925.2,926
670670102,,0,0.0,2006.4,17.7,451.4,598.8,11.6,11.6,982.0,,0.0,0.0,1969.0,32.9,393.8,1827.3,1828
670670103,,0,0.0,,0.0,0.0,181.8,4.0,4.0,298.2,,0.0,0.0,,0.0,0.0,298.2,299
670670104,55721.3,762.5946587,1968.5,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
670680000,,0,0.0,104.9,2.0,23.6,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,23.6,24
670690000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670700000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
670710000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670720000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670730000,,0,0.0,2972.6,28.0,668.8,262.7,6.4,6.4,430.8,,0.0,0.0,,0.0,0.0,1099.6,1100
670740000,,0,0.0,,0.0,0.0,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,524.8,525
670750000,,0,0.0,,0.0,0.0,61.6,1.2,1.2,101.0,,0.0,0.0,,0.0,0.0,101.0,101
670760000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
670770000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670790000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670800000,,0,0.0,2144.1,19.6,482.4,86.7,1.6,1.6,142.1,,0.0,0.0,,0.0,0.0,624.6,625
670810000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670820000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
670830000,,0,0.0,,0.0,0.0,256.8,4.8,4.8,421.1,,0.0,0.0,,0.0,0.0,421.1,422
670840000,,0,0.0,970.2,9.9,218.3,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,218.3,219
670850000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670860000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670870000,,0,0.0,,0.0,0.0,22.2,1.0,1.0,36.4,,0.0,0.0,,0.0,0.0,36.4,37
670880000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670890000,,0,0.0,30.8,2.0,6.9,586.2,11.0,11.0,961.3,,0.0,0.0,,0.0,0.0,968.2,969
670900000,,0,0.0,28.4,4.0,6.4,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,6.4,7
670910000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670920000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670930000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670940000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
670950000,,0,0.0,,0.0,0.0,640.0,12.0,12.0,1049.6,,0.0,0.0,,0.0,0.0,1049.6,1050
670960000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
670970000,,0,0.0,29.1,1.0,6.5,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,6.5,7
670980000,,0,0.0,106.9,1.0,24.1,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,24.1,25
670990000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671000000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671010000,,0,0.0,2612.0,29.3,587.7,960.0,18.0,18.0,1574.4,,0.0,0.0,,0.0,0.0,2162.1,2163
671020000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671030000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
671040000,,0,0.0,732.9,8.0,164.9,444.5,8.4,8.4,729.0,,0.0,0.0,,0.0,0.0,893.9,894
671050000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671060000,,0,0.0,237.9,6.0,53.5,697.4,13.1,13.1,1143.8,,0.0,0.0,,0.0,0.0,1197.3,1198
671070000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671080000,,0,0.0,28.6,1.0,6.4,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,6.4,7
671090000,,0,0.0,185.0,2.0,41.6,51.9,1.0,1.0,85.1,,0.0,0.0,,0.0,0.0,126.7,127
671100000,,0,0.0,,0.0,0.0,207.2,3.9,3.9,339.9,,0.0,0.0,,0.0,0.0,339.9,340
671110000,,0,0.0,,0.0,0.0,88.5,1.7,1.7,145.2,,0.0,0.0,,0.0,0.0,145.2,146
671120000,,0,0.0,2703.3,25.3,608.2,53.0,1.0,1.0,86.9,,0.0,0.0,,0.0,0.0,695.2,696
671130000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671150000,,0,0.0,52.6,1.0,11.8,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,11.8,12
671160000,,0,0.0,152.0,3.0,34.2,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,34.2,35
671170000,,0,0.0,,0.0,0.0,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,524.8,525
671180101,,0,0.0,2068.1,16.5,465.3,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,727.7,728
671180102,,0,0.0,1195.0,10.2,268.9,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,793.7,794
671190000,,0,0.0,4845.6,38.8,1090.3,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,1615.1,1616
671200000,,0,0.0,142.0,2.0,31.9,82.0,1.5,1.5,134.5,,0.0,0.0,,0.0,0.0,166.4,167
671210000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671220000,,0,0.0,,0.0,0.0,211.1,4.0,4.0,346.3,,0.0,0.0,,0.0,0.0,346.3,347
671230000,,0,0.0,6.2,1.0,1.4,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1.4,2
671240000,,0,0.0,2934.5,23.6,660.3,1120.0,21.1,21.1,1836.8,,0.0,0.0,,0.0,0.0,2497.1,2498
671250000,,0,0.0,995.8,8.0,224.1,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,748.9,749
671260000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671270000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671280000,,0,0.0,104.8,2.0,23.6,233.6,4.4,4.4,383.0,,0.0,0.0,,0.0,0.0,406.6,407
671290000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671300101,1719.7,24.1501241,61.6,975.4,10.1,219.5,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,219.5,220
671300102,5435.7,71.3916681,190.5,1296.3,11.1,291.7,630.8,12.1,12.1,1034.4,,0.0,0.0,,0.0,0.0,1326.1,1327
671300103,,0,0.0,4259.6,36.4,958.4,411.3,7.7,7.7,674.6,,0.0,0.0,,0.0,0.0,1633.0,1633
671300104,41717.0,578.0445364,1483.5,2929.5,26.0,659.1,865.1,16.3,16.3,1418.8,,0.0,0.0,,0.0,0.0,2077.9,2078
671310000,,0,0.0,4042.7,33.7,909.6,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,909.6,910
671320000,,0,0.0,,0.0,0.0,59.2,1.1,1.1,97.1,,0.0,0.0,,0.0,0.0,97.1,98
671330000,,0,0.0,,0.0,0.0,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,524.8,525
671340000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671350000,,0,0.0,,0.0,0.0,245.3,4.6,4.6,402.3,,0.0,0.0,,0.0,0.0,402.3,403
671360000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671370000,,0,0.0,2891.0,24.4,650.5,480.0,9.0,9.0,787.2,,0.0,0.0,,0.0,0.0,1437.7,1438
671380000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671390000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671400000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
671410000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671420000,,0,0.0,,0.0,0.0,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,524.8,525
671430000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671440000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671450000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671460000,,0,0.0,,0.0,0.0,67.5,1.3,1.3,110.7,,0.0,0.0,,0.0,0.0,110.7,111
671470000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671480000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
671490000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
671500000,,0,0.0,,0.0,0.0,132.3,2.5,2.5,216.9,,0.0,0.0,,0.0,0.0,216.9,217
671510000,,0,0.0,1883.2,18.0,423.7,649.7,12.8,12.8,1065.6,,0.0,0.0,158.2,2.6,31.6,1520.9,1521
671520101,,0,0.0,5132.8,41.2,1154.9,480.0,9.0,9.0,787.2,,0.0,0.0,,0.0,0.0,1942.1,1943
671520102,,0,0.0,2191.7,17.5,493.1,480.0,9.0,9.0,787.2,,0.0,0.0,,0.0,0.0,1280.3,1281
