IRIS;Sum_students
670010000;198
670030000;38
670050000;168
670090000;29
670100000;44
670110000;356
670180000;73
670210101;601
670210102;242
670230000;80
670250000;137
670280000;942
670300000;46
670340000;209
670350000;170
670370000;37
670400000;93
670430102;292
670430103;385
670430104;201
670430201;249
670430203;643
670450000;332
670460101;85
670460102;533
670460104;395
670460105;516
670490000;103
670510000;16
670520000;211
670550000;134
670590000;48
670610000;405
670620000;22
670630000;41
670650000;97
670660000;383
670670101;197
670670102;867
670670103;113
670700000;28
670710000;60
670720000;46
670730000;364
670740000;49
670750000;53
670760000;45
670800000;176
670810000;170
670820000;87
670840000;226
670850000;67
670870000;74
670880000;19
670890000;403
670920000;50
670930000;44
670950000;131
670970000;203
670980000;92
670990000;23
671010000;120
671040000;112
671050000;162
671060000;554
671070000;44
671100000;315
671120000;326
671150000;84
671160000;44
671170000;17
671180102;617
671190000;86
671210000;126
671220000;88
671240000;224
671250000;190
671280000;230
671290000;43
671300101;166
671300102;692
671300103;124
671300104;39
671310000;638
671320000;146
671340000;23
671350000;53
671370000;346
671380000;42
671390000;42
671440000;37
671450000;25
671460000;43
671500000;126
671510000;420
671520101;361
671520102;345
671540000;382
671550000;228
671560000;233
671630000;48
671670000;105
671680000;184
671720000;113
671760000;324
671790000;71
671800101;1046
671800102;916
671800202;484
671800203;98
671800301;145
671800402;91
671800403;172
671800404;15
671800502;361
671820000;130
671830000;57
671840000;184
671850000;62
671870000;42
671880000;41
671890000;151
671910000;128
671940000;484
671960000;520
671970000;152
672000000;216
672010000;34
672020000;842
672040102;386
672040104;521
672050000;352
672060000;127
672100000;31
672120000;306
672130000;58
672150000;42
672160000;155
672170000;143
672180102;385
672180104;578
672180201;51
672180202;243
672180203;334
672180302;384
672180303;251
672210000;33
672220000;151
672230000;118
672260000;205
672270000;11
672280000;94
672300000;186
672320000;19
672340000;19
672370000;204
672380000;233
672390000;136
672410000;17
672460000;218
672470000;64
672480000;175
672500000;111
672560000;463
672570000;45
672590000;91
672610000;229
672630000;172
672640000;19
672660000;66
672670101;504
672670201;183
672670202;510
672670203;101
672670301;420
672670302;280
672680000;230
672760000;224
672780000;35
672800000;120
672810000;411
672820000;304
672830000;405
672850000;105
672860000;130
672890000;71
672910000;292
672920000;158
672930000;60
672950000;64
672960000;168
672990000;97
673000101;814
673000103;235
673000104;195
673010000;159
673020000;546
673050000;173
673060000;45
673090102;143
673110000;204
673130101;203
673130102;543
673140000;38
673170000;257
673200000;74
673210000;23
673220000;90
673240000;547
673250000;153
673260000;119
673270000;52
673280000;90
673290000;70
673300000;56
673350000;287
673360000;273
673370000;36
673380000;115
673390000;375
673400000;92
673420000;256
673430000;424
673450000;415
673470000;286
673480101;249
673480102;582
673480103;342
673500000;201
673520000;55
673550000;72
673560000;165
673590000;145
673600000;108
673620000;61
673630000;67
673640000;59
673650102;592
673650104;410
673650105;231
673670000;47
673680000;162
673710000;32
673720000;553
673750000;131
673770000;84
673780000;431
673800000;23
673820000;130
673840000;18
673880101;364
673880102;180
673890000;350
673910000;46
673920000;475
673950000;17
673970000;241
674000000;114
674030000;44
674040000;74
674050000;474
674070000;146
674080000;104
674110000;584
674120000;112
674140000;128
674150000;37
674180000;139
674210000;63
674230000;287
674240000;24
674250000;35
674290000;85
674300000;95
674320000;60
674330000;80
674340000;741
674360000;39
674370101;40
674370104;386
674370105;475
674370109;91
674380000;95
674400000;52
674420000;221
674450000;272
674460000;44
674470102;351
674470103;221
674470201;180
674470202;984
674470203;20
674470301;209
674470401;183
674470402;548
674470501;45
674470502;582
674480000;268
674490000;88
674510000;91
674520000;118
674530000;49
674540000;24
674560000;63
674580000;380
674610000;23
674620101;799
674620104;372
674620105;103
674620106;735
674620107;14
674630000;395
674640000;98
674650000;213
674660000;121
674670000;51
674710102;777
674720000;464
674730000;82
674740000;354
674760000;66
674780000;147
674790000;39
674800000;116
674810000;106
674820101;1074
674820102;114
674820203;388
674820204;825
674820301;140
674820303;357
674820401;764
674820402;487
674820601;288
674820602;136
674820603;565
674820702;445
674820801;243
674820803;40
674820804;93
674820902;743
674820903;214
674821001;268
674821002;175
674821004;683
674821005;576
674821103;893
674821104;50
674821203;799
674821204;348
674821301;486
674821302;391
674821402;447
674821403;630
674821404;382
674821501;348
674821503;666
674821603;1127
674821605;222
674821606;807
674821701;463
674821702;431
674821703;425
674821704;511
674821705;207
674821801;620
674821804;1114
674821805;139
674821904;663
674822001;535
674822101;443
674822103;101
674822104;572
674822105;449
674822201;259
674822202;280
674822301;572
674822404;648
674822405;407
674822407;535
674822601;178
674822602;794
674822703;418
674822801;467
674822804;450
674822901;725
674823001;450
674823003;380
674850000;233
674860000;182
674870000;639
674890000;82
674910000;20
674930000;36
674950000;525
674970000;54
674980000;90
674990000;23
675000000;71
675040000;219
675060101;477
675070000;217
675080000;24
675090000;21
675130000;27
675140000;73
675150000;47
675160000;45
675170000;73
675190101;403
675190102;70
675200102;845
675210000;43
675220000;63
675230000;464
675240000;49
675250000;182
675260000;168
675270000;97
675280000;405
675290000;348
675350000;88
675380000;353
675390000;98
675400000;174
675410000;40
675420000;42
675430000;191
675440101;339
675440102;295
675440201;36
675440202;138
675450000;46
675470000;196
675500000;299
675510000;405
