IRIS;Sum_students
670010000;479
670210101;374
670280000;707
670430102;1869
670430103;433
670430204;316
670460105;2014
670610000;2232
670660000;481
670670102;599
670730000;532
670840000;366
670890000;237
670950000;266
671050000;423
671060000;417
671120000;373
671180102;431
671300103;765
671310000;649
671520101;613
671540000;332
671730000;497
671800102;3771
671800202;575
671800403;442
671800502;641
671940000;310
672020000;717
672180103;415
672180201;1833
672180303;603
672220000;280
672610000;318
672670102;604
672670203;477
672670302;59
672810000;550
672820000;604
672830000;403
672850000;374
672910000;264
673000102;336
673000103;802
673000104;2172
673090102;498
673130102;661
673240000;371
673480102;536
673480104;253
673480105;697
673550000;133
673650102;515
673710000;217
673720000;431
673880102;474
673970000;286
674040000;998
674110000;656
674340000;494
674370103;664
674370104;1276
674370105;599
674370109;423
674470102;784
674470202;490
674470402;96
674470502;1345
674580000;428
674620102;1691
674620103;500
674620105;1875
674630000;537
674710101;504
674720000;585
674740000;652
674820101;2601
674820204;1759
674820304;94
674820401;64
674820402;896
674820501;2625
674820502;109
674820503;466
674820601;1859
674820702;667
674820801;1192
674820804;1688
674820902;520
674821001;1680
674821102;568
674821103;431
674821104;2811
674821202;470
674821205;604
674821206;38
674821302;592
674821503;80
674821603;1138
674821606;654
674821703;597
674821704;114
674821705;432
674821804;640
674822101;525
674822102;453
674822402;1465
674822404;668
674822407;476
674822501;1561
674822601;535
674822804;371
674823001;518
674823002;586
674860000;458
674950000;664
675060102;274
675070000;474
675190101;518
675200102;1066
675440202;1499
675500000;1071
