FICHE;SECT1;SECT2;ECH;NUMPERS;NUMDEP;D2A;D2B;D3;D4;D5A;D5B;D6;D7;D8;D9;D10;D11;Coef
3;01;028;003;01;01;01;;001028;1400;32;;;006007;1420;020;1;1;111.7186
3;01;028;003;01;02;32;;006007;1520;01;;;001028;1535;015;1;1;111.7186
3;01;028;003;02;01;01;;001028;1400;32;;;006007;1420;020;1;1;111.7186
3;01;028;003;02;02;32;;006007;1520;01;;;001028;1535;015;1;1;111.7186
3;01;031;005;01;01;01;;001031;0715;61;11;;014007;0745;030;1;1;115.9820
3;01;031;005;01;02;63;11;014007;0745;11;;;001035;0815;030;1;1;115.9820
3;01;031;005;01;03;11;;001035;1200;01;;;001031;1205;005;1;1;115.9820
3;01;031;005;01;04;01;;001031;1305;11;;;001035;1310;005;1;1;115.9820
3;01;031;005;01;05;11;;001035;1645;64;11;;014007;1715;030;1;1;115.9820
3;01;031;005;01;06;62;11;014007;1715;01;;;001031;1745;030;1;1;115.9820
3;01;031;005;02;01;01;;001031;1300;33;;;800009;1325;025;1;1;115.9820
3;01;031;005;02;02;33;;800009;1630;01;;;001031;1650;020;1;1;115.9820
3;01;031;005;03;01;01;;001031;0715;28;;;014007;0745;030;1;1;115.9820
3;01;031;005;03;02;28;;014007;1715;01;;;001031;1745;030;1;1;115.9820
3;01;030;009;01;01;01;;001030;0800;11;;;013009;0825;025;1;3;111.7186
3;01;030;009;01;02;11;;013009;1200;53;;;013008;1205;005;1;3;111.7186
3;01;030;009;01;03;53;;013008;1315;11;;;013009;1320;005;1;3;111.7186
3;01;030;009;01;04;11;;013009;1900;01;;;001030;1920;020;1;3;111.7186
3;01;030;009;02;01;01;;001030;0820;11;;;011012;0900;040;1;1;111.7186
3;01;030;009;02;02;11;;011012;1300;41;;;007011;1320;020;1;1;111.7186
3;01;030;009;02;03;41;;007011;1430;33;;;012003;1450;020;1;1;111.7186
3;01;030;009;02;04;33;;012003;1505;01;;;001030;1525;020;1;1;111.7186
3;01;006;015;01;01;01;;001006;0545;11;;;001015;0555;010;1;1;115.9820
3;01;006;015;01;02;11;;001015;1305;01;;;001006;1315;010;1;1;115.9820
3;01;006;015;01;03;01;;001006;1630;54;;;001019;1635;005;1;1;115.9820
3;01;006;015;01;04;54;;001019;1650;01;;;001006;1655;005;1;1;115.9820
3;01;006;015;01;05;01;;001006;1730;32;;;001004;1735;005;1;1;115.9820
3;01;006;015;01;06;32;;001004;1750;54;;;001019;1755;005;1;1;115.9820
3;01;006;015;01;07;54;;001019;1900;01;;;001006;1905;005;1;1;115.9820
3;01;006;015;02;01;01;;001006;0545;11;;;001015;0555;010;1;1;115.9820
3;01;006;015;02;02;11;;001015;1305;01;;;001006;1315;010;1;1;115.9820
3;01;006;015;02;03;01;;001006;1630;54;;;001019;1635;005;1;1;115.9820
3;01;006;015;02;04;54;;001019;1650;01;;;001006;1655;005;1;1;115.9820
3;01;006;015;03;01;01;;001006;0800;25;;;024012;0900;060;1;1;115.9820
3;01;006;015;03;02;25;;024012;1600;32;;;006007;1645;045;1;1;115.9820
3;01;006;015;03;03;32;;006007;1710;01;;;001006;1735;025;1;1;115.9820
3;01;007;016;01;01;01;;001007;0730;11;;;011013;0820;050;1;1;115.7969
3;01;007;016;01;02;11;;011013;1630;32;;;011009;1645;015;1;1;115.7969
3;01;007;016;01;03;32;;011009;1745;32;;;001004;1815;030;1;1;115.7969
3;01;007;016;01;04;32;;001004;1830;33;;;001004;1840;010;1;1;115.7969
3;01;007;016;01;05;33;;001004;1850;01;;;001007;1855;005;1;1;115.7969
3;01;007;016;01;06;01;;001007;1945;53;;;001026;2000;015;1;1;115.7969
