EMD;no_activities_org
001002;2
001003;6
001004;110
001005;17
001006;125
001007;61
001008;20
001009;4
001010;3
001011;5
001012;11
001013;4
001014;10
001015;32
001016;3
001017;4
001018;3
001019;29
001020;2
001021;36
001022;16
001023;4
001024;7
001025;1
001026;12
001028;13
001029;3
001030;24
001031;7
001032;17
001033;14
001034;29
001035;7
001036;2
001037;12
001038;7
001039;11
001040;26
001041;10
001042;3
001043;3
002001;8
002002;38
002003;36
002004;63
002005;26
002006;3
002007;41
002008;6
002009;45
002010;43
002011;20
002012;4
002014;9
002015;55
002016;74
002017;9
002018;1
002019;49
002020;13
003001;21
003002;18
003003;10
003004;51
003005;22
003006;21
003007;34
003008;8
003009;9
003010;12
003011;11
003012;27
003013;63
003014;10
003015;15
003016;15
003017;9
003018;3
003019;49
003020;54
003021;53
003022;29
003023;28
003024;1
003025;20
003026;3
004001;11
004002;7
004003;18
004004;45
004005;10
004006;8
004007;25
004008;73
004009;29
004010;57
004011;36
004012;16
004013;66
004014;24
004016;20
004017;1
004018;4
004019;18
004020;11
004021;12
004022;8
004023;24
004024;3
004025;17
004026;12
004027;4
004031;6
004032;17
004033;2
005001;7
005002;6
005003;3
005004;13
005005;7
005006;16
005007;24
005008;34
005009;4
005010;4
005011;4
005013;31
005014;44
005015;6
005016;11
005017;33
005018;32
005019;13
005020;12
005021;9
005022;6
005023;17
005024;6
005025;16
005026;1
005027;24
005028;14
005030;9
005031;2
005032;5
005033;6
005034;70
005035;4
005036;3
005037;8
005038;12
005039;21
005040;27
005041;11
005042;17
006001;2
006002;78
006003;11
006004;15
006005;23
006006;2
006007;26
006008;3
006009;79
006010;38
006011;30
006012;53
006013;41
006014;6
006015;1
006016;11
006017;9
006018;7
006019;4
006020;14
006021;42
006022;20
006023;2
006024;35
007001;47
007002;1
007003;31
007004;17
007005;17
007006;1
007007;16
007008;22
007009;88
007010;20
007011;45
007012;31
007013;37
007014;24
007015;28
007016;27
007017;39
007018;64
007019;11
007022;3
007023;10
007024;43
007025;27
007026;14
007027;25
008001;18
008002;82
008003;99
008004;62
008005;14
008006;65
008007;2
008008;37
008030;8
008031;31
008032;52
008033;13
008034;37
008035;23
008036;16
008037;40
008038;23
009001;27
009002;4
009003;10
009004;32
009005;21
009006;6
009007;16
009008;24
009009;22
009010;13
009011;27
009012;58
009013;73
009014;52
009015;28
009016;18
009017;32
009018;78
009019;24
009020;26
009021;19
009022;51
009023;14
009024;22
009025;6
009026;28
009027;2
009028;29
009029;70
009030;6
009031;3
009032;9
010001;12
010002;19
010003;48
010004;30
010005;40
010006;16
010007;16
010008;6
010009;9
010010;2
010011;16
010012;42
010013;23
010014;15
010015;30
010016;38
010017;16
010018;8
010019;26
010020;13
010021;13
010022;15
010023;12
010024;86
010025;63
010026;7
010027;5
010028;4
010029;15
011001;49
011002;43
011003;125
011004;100
011005;57
011006;40
011007;58
011008;18
011009;152
011010;11
011011;21
011012;10
011013;101
011014;80
011015;24
012001;64
012002;77
012003;36
012004;78
012005;69
012006;56
012007;80
012008;40
012009;50
012010;24
012011;34
013001;58
013002;86
013003;51
013004;4
013005;124
013006;57
013007;59
013008;71
013009;10
013010;27
013011;60
013012;4
014001;98
014002;67
014003;48
014004;32
014005;121
014006;30
014007;35
014008;72
015001;8
015002;67
015003;52
015004;101
015005;19
015006;79
015007;24
015008;2
015009;12
016001;51
016002;62
016003;46
016004;13
016005;67
016006;38
016007;81
016008;37
016009;17
016010;44
016011;18
017002;173
017003;99
017004;14
017005;92
017006;93
017007;89
017008;3
017009;28
017010;121
017011;71
017012;1
018001;44
018002;43
018003;53
018004;72
018005;25
018006;86
018007;75
018008;72
018009;67
018010;6
018011;14
018012;1
018013;46
018014;23
019001;152
019002;39
019003;88
019004;82
019005;42
019006;38
019007;156
019008;61
019009;89
019010;50
019011;31
020001;18
020002;54
020003;58
020004;73
020005;7
020006;33
020007;87
020008;23
020009;73
020010;47
020011;44
020012;27
020013;22
021001;42
021002;28
021003;114
021004;82
021005;17
021006;49
021007;39
021008;71
021009;127
021010;55
021011;38
021012;2
022001;42
022002;48
022003;56
022004;90
022005;122
023001;42
023002;48
023003;58
023004;100
023005;110
023006;43
023007;6
023008;21
023009;55
023011;22
024001;26
024002;18
024003;90
024004;9
024005;4
024006;8
024007;18
024008;92
024009;27
024010;67
024011;59
024012;67
024013;4
024014;16
024015;38
024016;4
024017;32
024018;10
025001;31
025002;10
025003;6
025004;26
025005;29
025006;50
025007;111
025008;56
025009;35
025010;108
025011;69
025012;36
025013;67
025014;68
025015;55
025016;4
025017;7
025018;31
026001;12
026002;9
026003;21
026004;36
026005;7
026006;93
026007;65
026008;31
026009;59
026010;71
026011;48
026012;7
026013;3
026014;8
026015;2
027001;10
027002;23
027003;38
027004;17
027005;15
027006;46
027007;63
027008;76
027009;10
027010;21
027011;48
027012;41
027013;11
027014;72
028001;72
028002;66
028003;27
028004;201
028005;69
028006;48
028007;17
028008;31
028009;59
028010;42
028011;29
028012;72
028013;24
028014;29
029001;65
029002;261
029003;83
029004;30
029005;52
030001;205
030002;89
030003;90
030004;104
030005;54
030006;54
030007;63
030008;117
030009;51
031001;244
031002;67
031003;19
031004;68
031005;51
031006;15
031007;127
031008;75
031009;46
031010;35
031011;26
031012;76
031013;81
031014;83
031015;57
031016;15
031017;8
032001;41
032002;20
032003;57
032004;63
032005;71
032006;131
032007;25
032008;14
032009;92
032010;63
032011;42
032012;59
032013;10
033001;160
033002;136
033003;160
033004;84
033005;83
033006;67
033007;44
033008;81
033009;86
034001;71
034002;86
034003;51
034004;26
034005;35
034006;52
034007;49
034008;33
034009;127
034010;70
034011;11
035001;78
035002;133
035003;33
035004;94
035005;15
035006;26
035007;99
035008;74
035009;33
035010;31
035011;43
035012;35
036001;120
036002;113
036003;77
036004;67
036005;134
036006;132
036007;19
036008;63
036009;54
036010;55
036011;101
036012;12
036013;27
037001;187
037002;304
037003;85
037004;133
037005;24
037006;34
037007;59
037008;64
037009;142
037010;81
037011;88
037012;177
037013;121
038011;27
038012;5
038013;12
038014;25
038015;8
038016;35
038017;9
038018;17
038019;1
038021;9
038022;79
038023;33
038024;32
038025;52
038026;4
038027;5
038028;8
038029;13
039001;170
039013;35
039014;145
039015;80
041001;1
041002;5
041003;22
041004;10
041006;4
041007;1
041008;5
041009;63
041010;42
041012;9
041013;12
041014;8
041015;124
041016;27
041017;107
041018;22
041019;25
041020;14
041022;26
041023;56
041024;29
041025;11
041026;45
041027;24
041028;78
041029;14
041030;16
041031;33
041032;22
042001;10
042002;74
042003;7
042004;34
042005;1
042006;1
042007;12
042008;1
042009;3
042010;11
042012;83
042013;3
042014;38
042015;32
042016;1
042017;3
042018;54
042019;10
042020;13
042021;14
042022;1
042023;1
042024;22
042025;17
042026;78
042027;56
042028;31
042029;2
042030;2
042033;10
042034;7
042035;1
042036;1
042037;10
043001;28
043002;9
043003;25
043004;5
043005;4
043006;1
043007;2
043008;2
043009;9
043010;19
043011;30
043012;2
043013;1
043014;50
043015;43
043016;3
043017;11
043018;1
043020;18
043021;2
043022;32
043023;22
043024;1
043025;53
043026;18
043027;51
043028;12
043029;3
044001;2
044002;11
044003;17
044004;1
044006;1
044007;19
044009;1
044010;6
044012;1
044013;10
044014;11
044015;23
044016;17
044017;1
044018;70
044019;6
044020;41
044021;26
044022;13
044023;5
044025;4
044026;17
044028;1
044029;2
044030;1
044032;11
044033;20
044034;30
044035;2
044036;76
044037;42
044038;73
044039;20
044040;29
044041;16
044042;20
044043;2
044044;14
044045;25
044046;4
044047;8
044048;19
044050;87
044051;22
044052;7
044053;13
044055;2
044056;9
044057;3
044059;15
045001;57
045002;3
045003;10
045004;130
045005;59
045006;75
045007;26
045008;9
045009;33
045010;1
045011;2
045012;49
045013;21
045014;33
046001;74
046002;19
046003;21
046004;54
046005;1
046006;6
046007;26
046008;10
046009;49
046010;18
046011;34
046012;39
046013;38
046014;44
046015;68
047002;12
047003;21
047004;11
047005;3
047006;3
047007;6
047009;24
047010;9
047011;25
047012;104
047013;5
047014;17
047015;21
047016;4
047017;9
047018;2
047019;7
047022;13
047023;7
047024;24
047026;13
047027;5
047029;3
047030;3
047031;4
047032;26
047033;10
047034;15
047036;12
047037;23
047038;1
048001;15
048002;204
048003;187
048004;141
048005;70
048006;71
048007;26
048008;2
048009;6
048010;7
048011;46
048012;45
048013;34
048014;6
048015;56
049001;4
049002;42
049003;9
049004;11
049005;11
049007;17
049008;13
049009;68
049010;78
049011;8
049012;2
049013;3
049014;100
049015;51
049016;3
049017;8
049018;7
049019;6
049020;25
049021;3
049022;2
049023;28
049024;32
049025;5
049026;58
050001;24
050002;257
050003;93
050004;65
050005;98
050006;58
050007;21
050008;28
050009;9
050010;23
050011;17
050012;46
050013;33
050014;79
050015;15
050016;23
050017;37
050018;6
050019;12
050020;16
050021;2
050022;33
050023;10
050024;6
050025;23
050026;80
050027;35
050028;11
050029;4
050030;5
050031;17
050032;18
050033;55
050034;7
050035;4
050036;55
050037;4
050038;15
050039;3
050040;8
050041;7
050042;2
050043;16
050044;1
050045;27
050046;4
050047;22
050048;8
050049;2
050050;1
050051;1
050052;28
051001;5
051002;61
051003;30
051004;31
051005;28
051006;29
051007;11
051008;48
051009;9
051010;20
051011;16
051013;13
051014;6
051015;2
051016;6
051017;3
051018;5
051019;61
051021;1
051024;1
051025;2
051026;17
051027;6
051028;29
051029;18
051030;27
051031;2
051032;11
051033;11
051034;89
051035;11
052001;15
052002;10
052004;4
052005;1
052006;5
052007;5
052009;1
052010;1
052012;9
052013;21
052014;2
052016;8
052019;4
052021;2
052026;1
052028;10
052031;2
052032;2
052034;27
052036;1
052038;2
052039;2
052043;5
052044;2
052049;2
052052;8
052053;9
