FICHE;DATEJJ;DATEMM;DATEAA;SECT1;SECT2;ECH;JOURSEM_DEP;M1;M2;M3;M4;M5;M6;M7A1 ;M8A1;M9A1;M10A1;M11A1 ;M12A1 ;M13A1 ;M7A2 ;M8A2;M9A2;M10A2;M11A2 ;M12A2 ;M13A2 ;M7A3 ;M8A3;M9A3;M10A3;M11A3 ;M12A3 ;M13A3 ;M7A4 ;M8A4;M9A4;M10A4;M11A4 ;M12A4 ;M13A4 ;Coef;L1 ;L2 ;L3 ;L4 ;L5A1 ;L32A1 ;L5A2;L32A2 ;L5A3 ;L32A3 ;L5A4 ;L32A4 ;L6 ;L7 ;L8 ;L9 ;L31 ;R1 ;R2 ;R3 ;R4 
1;07;02;09;01;028;003;5;1;2;1;1;1;1;1;3;2005;07;1;1;2;;;;;;;;;;;;;;;;;;;;;;111.7186;1;;3;1996;2006;2;;;;;;;2;4;;;11;;;;
1;17;02;09;01;031;005;1;1;2;1;1;1;3;1;3;1997;07;1;1;2;1;1;1999;07;1;1;2;1;1;1989;05;1;1;2;;;;;;;;115.9820;1;20;3;1991;2008;2;2001;2;2005;2;;;2;3;;;06;000560;;;
1;11;02;09;01;030;009;2;1;2;1;1;1;2;1;1;1999;05;1;1;2;1;3;2007;06;2;1;2;;;;;;;;;;;;;;;111.7186;1;25;3;2007;2003;2;2007;2;;;;;3;4;;;08;001200;;;
1;11;02;09;01;006;015;2;1;1;1;1;1;3;1;3;1999;05;1;2;1;1;3;2003;05;1;1;2;1;3;2008;05;1;2;1;;;;;;;;115.9820;1;;3;1999;2008;2;2003;2;2008;2;;;2;2;1;4;07;;;;
1;07;02;09;01;007;016;5;3;2;1;1;1;1;1;1;2003;05;1;1;2;;;;;;;;;;;;;;;;;;;;;;115.7969;1;25;1;2001;2003;2;;;;;;;1;1;1;2;04;;;;
1;12;03;09;01;019;017;3;5;4;1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115.9820;4;;1;2008;;;;;;;;;2;1;1;4;04;;000503;000080;
1;13;03;09;01;004;018;4;2;4;1;2;1;4;1;1;1999;04;1;2;2;1;3;2007;06;1;2;2;1;3;2006;06;1;2;2;3;3;1996;05;3;2;2;128.2149;1;;1;1999;1999;2;2007;2;2009;2;2006;2;4;3;;;07;;000610;000100;000380
1;12;05;09;01;007;019;1;5;3;1;1;1;3;1;3;2002;06;1;1;2;1;3;2000;04;1;1;2;1;1;1985;03;1;3;2;;;;;;;;022.8455;1;;2;1995;2007;2;2009;2;2002;2;;;4;2;1;3;04;;000400;000143;
1;11;03;09;01;029;021;2;2;2;1;1;2;1;1;1;2000;07;1;1;2;;;;;;;;;;;;;;;;;;;;;;111.7186;2;;3;1980;2001;2;;;;;;;2;4;;;02;000362;;000110;
1;21;03;09;01;011;026;5;1;2;1;2;1;2;1;3;2003;07;1;1;2;1;3;2006;05;1;1;2;;;;;;;;;;;;;;;128.2149;2;16;4;2005;2004;2;2007;2;;;;;6;3;;;08;001050;;000220;
1;11;02;09;01;030;028;2;1;3;1;1;1;3;1;3;2006;06;1;1;2;1;1;1993;07;1;1;2;1;1;1996;08;1;1;2;;;;;;;;017.6675;1;;1;2000;2006;2;1998;2;2003;2;;;3;4;;;07;;000275;000034;
1;10;02;09;01;042;029;1;1;1;1;1;1;1;1;3;2000;06;1;1;2;;;;;;;;;;;;;;;;;;;;;;111.7186;1;;3;1973;2000;2;;;;;;;3;4;;;04;;;000036;
1;21;03;09;01;012;030;5;5;4;2;;1;1;1;3;1992;05;1;3;2;;;;;;;;;;;;;;;;;;;;;;115.7969;4;;0;2009;2005;2;;;;;;;0;4;;;03;;000480;000020;
1;11;03;09;01;041;031;2;1;1;1;1;2;1;1;3;2000;05;1;1;2;;;;;;;;;;;;;;;;;;;;;;111.7186;1;;1;1981;2002;2;;;;;;;3;4;;;05;;;000210;
