FICHE;SECT1;SECT2;ECH;NUMPERS;O1A1;O1A2;O1A3;O1A4;O1A5;O1A6;O1A7;O2 ;O3A1;O3A2;O3A3;O3A4;O3A5;O3A6;O3A7;O3A8;O3A9;O4 ;O5A1;O5A2;O5A3;O5A4;O5A5;O5A6;O5A7;O6A1;O6A2;O6A3;O7A1;O7A2;O7A3;O8A1;O8A2;O8A3;L20 ;L21;L22;L23;L24 ;L25 ;L26 ;L27 ;L28;L29;L17A1 ;L18A1 ;L18B1 ;L19A1 ;L19B1 ;L17A2 ;L18A2 ;L18B2 ;L19A2 ;L19B2 ;L17A3 ;L18A3 ;L18B3 ;L19A3 ;L19B3 ;L17A4 ;L18A4 ;L18B4 ;L19A4 ;L19B4 ;L17A5 ;L18A5 ;L18B5 ;L19A5 ;L19B5 ;L17A6 ;L18A6 ;L18B6 ;L19A6 ;L19B6 ;L17A7 ;L18A7 ;L18B7 ;L19A7 ;L19B7 ;L17A8 ;L18A8 ;L18B8 ;L19A8 ;L19B8 ;L17A9 ;L18A9 ;L18B9 ;L19A9 ;L19B9 ;L30A1 ;L30A2 ;Coef
5;1;28;3;1;1;1;1;1;1;1;1;4;1;2;1;1;3;1;1;1;1;3;1;1;2;3;2;3;3;7;13;22;24;25;19;15;32;;2;;999;1530;2;1;5;2;800999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;6;9;4;0;2;;;;;2;;;;;2;8;111.7186
5;1;31;5;2;1;1;1;1;1;1;1;3;1;1;1;1;3;1;1;1;1;9;3;1;2;2;2;1;1;13;22;6;2;3;10;15;17;29;1;521;;1530;3;1;5;3;800999;2;2;;;;;2;;;;;1;7;17;5;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;9;;115.982
5;1;30;9;2;1;1;2;1;3;1;1;4;2;2;1;1;3;3;1;1;1;8;1;1;2;1;1;1;1;10;13;24;10;4;2;17;4;8;2;;999;1530;3;1;5;3;700109;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;971;76;5;;1;8;111.7186
5;1;6;15;3;1;1;1;1;1;1;1;3;1;1;1;2;2;1;1;1;1;1;1;2;1;2;3;2;2;9;12;16;32;29;28;26;25;21;1;172;;1483;3;1;5;3;700109;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;12;;115.982
5;1;7;16;1;1;1;1;1;1;1;1;7;2;1;1;1;3;1;1;1;1;6;2;1;2;1;1;1;2;7;22;24;24;22;20;9;39;25;1;164;;1483;2;1;5;4;700099;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;3;8;115.7969
5;1;19;17;1;1;1;1;1;1;1;1;3;1;2;1;1;2;2;1;2;2;1;1;1;2;2;1;1;1;53;25;25;3;2;28;3;4;3;2;;211;1483;2;1;5;4;800999;2;2;;;;;2;;;;;1;1;6;1;;2;;;;;2;;;;;1;18;13;5;;1;1;6;1;;1;27;14;5;;1;27;14;5;;12;;115.982
5;1;4;18;2;1;1;1;1;1;1;1;3;1;1;2;1;1;2;1;2;1;7;1;1;2;2;1;1;1;1;3;9;84;2;60;3;4;2;2;;999;1483;3;1;5;3;700999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;8;3;128.2149
5;1;7;19;3;1;1;1;1;1;1;1;6;2;2;2;2;2;1;1;1;1;8;1;1;2;2;1;1;1;66;1;60;10;28;34;15;4;3;1;164;;1483;3;1;2;3;700099;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;1;6;1;;2;;;;;2;;;;;3;1;22.8455
5;1;29;21;1;1;2;1;1;1;1;1;4;1;1;1;2;2;1;1;1;1;9;1;1;1;1;1;1;2;3;1;53;38;23;33;8;11;12;2;;999;999;3;1;3;3;700999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;1;29;1;;3;9;111.7186
5;1;11;26;2;1;1;1;1;1;1;1;3;1;1;2;1;2;1;1;2;2;6;2;1;1;1;1;1;1;24;28;16;3;4;16;25;17;2;1;347;;1483;2;1;2;4;700087;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;800;10;5;;2;;;;;2;;;;;1;5;128.2149
