FICHE;SECT1;SECT2;ECH;NUMPERS;P2;P3;P4;P5;P6;P7;P8;P9;P10;Codif_PCS;P14;P15SECTEUR;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P1;P12A1;P12B1;P13A1;P12A2;P12B2;P13A2;P12A3;P12B3;P13A3;L10;L11;L12;P24A;P24B;Coef
2;01;028;003;01;1;1;66;1;1;1;2;7;0;36;;;;;;4;5;1;2;5;4;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;028;003;02;2;2;56;1;1;1;2;7;0;54;;;;;;4;5;1;1;5;4;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;031;005;01;1;1;47;1;2;1;2;1;0;61;2;001035;1;3;;1;5;1;1;5;4;1;1;5;;;;;;;;;;84;6;5;5;115.9820
2;01;031;005;02;2;2;46;1;1;1;2;1;0;66;2;001015;1;3;;4;5;1;4;5;4;1;1;5;;;;;;;;;;02;2;5;5;115.9820
2;01;031;005;03;1;3;18;1;1;3;0;5;1;85;2;014007;3;;3;5;5;5;1;5;4;1;1;5;;;;;;;;;;;;5;5;115.9820
2;01;030;009;01;1;1;32;1;1;1;6;1;0;36;2;013009;1;2;;4;5;1;4;4;4;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;030;009;02;2;2;30;1;1;1;6;1;0;55;2;011012;1;2;;4;5;1;2;3;3;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;006;015;01;1;2;46;1;1;1;3;1;0;54;2;001015;1;3;;4;5;1;1;5;4;1;1;5;;;;;;;;;;;;5;5;115.9820
2;01;006;015;02;2;1;44;1;1;1;3;1;0;54;2;001015;1;3;;4;5;1;1;5;4;1;1;5;;;;;;;;;;;;5;5;115.9820
2;01;006;015;03;2;3;18;1;1;1;4;3;0;89;2;024012;1;3;;3;5;1;1;3;3;1;1;5;;;;;;;;;;;;3;3;115.9820
2;01;007;016;01;2;1;55;1;1;1;3;1;0;47;2;011013;1;3;;4;5;1;4;5;3;1;1;5;;;;;;;;;;77;2;3;3;115.7969
2;01;019;017;01;1;1;23;2;1;2;3;1;0;61;2;001015;2;;3;5;5;5;1;5;4;1;1;5;;;;;;;;;;02;6;5;5;115.9820
2;01;019;017;02;2;2;21;2;1;2;2;2;0;51;2;001004;2;;3;5;1;5;3;5;4;1;1;5;;;;;;;;;;08;6;5;5;115.9820
2;01;019;017;03;2;3;02;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;115.9820
2;01;004;018;01;1;2;38;2;2;1;2;1;0;66;2;026015;1;3;;4;5;1;4;5;5;1;1;5;;;;;;;;;;91;3;5;5;128.2149
2;01;004;018;02;2;1;44;1;1;1;2;1;0;56;2;001031;1;3;;4;5;1;3;5;4;1;1;5;;;;;;;;;;02;3;5;5;128.2149
2;01;004;018;03;1;3;21;1;1;1;3;1;0;61;2;001004;1;3;;4;5;1;4;5;5;1;1;5;;;;;;;;;;06;3;5;5;128.2149
2;01;004;018;04;1;3;09;2;2;2;0;5;0;83;2;001004;;;;1;5;5;1;5;4;1;1;5;;;;;;;;;;;;5;5;128.2149
2;01;007;019;01;1;1;51;1;2;1;1;7;0;61;;;;;;4;5;2;4;5;5;1;1;5;;;;;;;;;;;;5;5;022.8455
2;01;007;019;02;2;2;44;2;2;2;1;8;0;82;;;;;;5;5;5;2;5;5;1;1;5;;;;;;;;;;;;5;5;022.8455
2;01;007;019;03;1;3;24;1;2;2;1;1;0;54;2;001015;3;;3;4;5;5;2;4;5;1;1;5;;;;;;;;;;05;4;4;5;022.8455
2;01;007;019;04;2;3;21;1;1;1;0;3;0;86;2;033009;1;1;;4;5;1;2;4;5;1;1;5;;;;;;;;;;;;4;4;022.8455
2;01;007;019;05;2;3;19;1;1;1;0;5;0;85;2;001006;3;;3;4;5;2;2;4;5;1;1;5;;;;;;;;;;;;4;5;022.8455
