FICHE;SECT1;SECT2;ECH;NUMPERS;NUMDEP;NUMTRAJ;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;L15;L16;Coef
4;01;028;003;01;01;1;00;21;001028;006007;00;1;2;3;2;00;;1;111.7186
4;01;028;003;01;02;1;00;21;006007;001028;00;1;2;1;2;00;;1;111.7186
4;01;028;003;02;01;1;00;22;001028;006007;00;;;;;;;;111.7186
4;01;028;003;02;02;1;00;22;006007;001028;00;;;;;;;;111.7186
4;01;031;005;01;01;1;00;21;001031;014007;00;1;2;0;;00;;2;115.9820
4;01;031;005;01;02;1;00;21;014007;001035;00;1;1;2;2;00;;2;115.9820
4;01;031;005;01;03;1;00;21;001035;001031;00;1;1;1;2;00;;2;115.9820
4;01;031;005;01;04;1;00;21;001031;001035;00;1;1;2;2;00;;2;115.9820
4;01;031;005;01;05;1;00;21;001035;014007;00;1;1;0;;00;;2;115.9820
4;01;031;005;01;06;1;00;21;014007;001031;00;1;2;1;2;00;;2;115.9820
4;01;031;005;02;01;1;00;22;001031;800009;00;;;;;;;;115.9820
4;01;031;005;02;02;1;00;22;800009;001031;00;;;;;;;;115.9820
4;01;031;005;03;01;1;00;22;001031;014007;00;;;;;;;;115.9820
4;01;031;005;03;02;1;00;22;014007;001031;00;;;;;;;;115.9820
4;01;030;009;01;01;1;00;21;001030;013009;00;2;1;1;2;00;;2;111.7186
4;01;030;009;01;02;1;00;21;013009;013008;01;2;5;2;2;00;;2;111.7186
4;01;030;009;01;03;1;01;21;013008;013009;00;2;5;1;2;00;;2;111.7186
4;01;030;009;01;04;1;00;21;013009;001030;00;2;1;1;2;00;;2;111.7186
4;01;030;009;02;01;1;00;21;001030;011012;00;1;1;1;2;00;;2;111.7186
4;01;030;009;02;02;1;00;21;011012;007011;01;1;2;2;2;00;;2;111.7186
4;01;030;009;02;03;1;01;21;007011;012003;01;1;1;2;2;00;;2;111.7186
4;01;030;009;02;04;1;01;21;012003;001030;00;1;1;1;2;00;;2;111.7186
4;01;006;015;01;01;1;00;21;001006;001015;00;3;2;3;2;00;;2;115.9820
4;01;006;015;01;02;1;00;21;001015;001006;00;3;2;2;2;00;;2;115.9820
4;01;006;015;01;03;1;00;21;001006;001019;00;2;2;2;2;00;;2;115.9820
4;01;006;015;01;04;1;00;21;001019;001006;00;2;2;2;2;00;;2;115.9820
4;01;006;015;01;05;1;00;21;001006;001004;00;3;1;3;2;00;;2;115.9820
4;01;006;015;01;06;1;00;21;001004;001019;00;3;1;2;2;00;;2;115.9820
4;01;006;015;01;07;1;00;21;001019;001006;00;3;1;2;2;00;;2;115.9820
4;01;006;015;02;01;1;00;22;001006;001015;00;;;;;;;;115.9820
4;01;006;015;02;02;1;00;22;001015;001006;00;;;;;;;;115.9820
4;01;006;015;02;03;1;00;22;001006;001019;00;;;;;;;;115.9820
4;01;006;015;02;04;1;00;22;001019;001006;00;;;;;;;;115.9820
4;01;006;015;03;01;1;00;21;001006;024012;00;1;1;3;2;00;;1;115.9820
4;01;006;015;03;02;1;00;21;024012;006007;00;1;1;3;2;00;;1;115.9820
4;01;006;015;03;03;1;00;21;006007;001006;00;1;1;2;2;00;;2;115.9820
4;01;007;016;01;01;1;00;21;001007;011013;00;1;1;1;2;00;;2;115.7969
4;01;007;016;01;02;1;00;21;011013;011009;00;1;1;3;2;00;;2;115.7969
4;01;007;016;01;03;1;00;21;011009;001004;00;1;1;3;2;00;;1;115.7969
4;01;007;016;01;04;1;00;21;001004;001004;00;1;1;2;2;00;;2;115.7969
4;01;007;016;01;05;1;00;21;001004;001007;00;1;1;1;2;00;;2;115.7969
4;01;007;016;01;06;1;00;21;001007;001026;00;1;1;3;2;00;;2;115.7969
4;01;007;016;01;07;1;00;21;001026;001028;00;1;1;2;2;00;;2;115.7969
4;01;007;016;01;08;1;00;21;001028;001007;00;1;1;1;2;00;;2;115.7969
4;01;019;017;02;03;1;00;12;001019;001007;00;;;;;;;;115.9820
4;01;019;017;02;04;1;00;12;001007;001007;00;;;;;;;;115.9820
4;01;019;017;02;05;1;00;12;001007;001004;01;;;;;;;;115.9820
4;01;019;017;02;06;1;01;12;001004;001019;00;;;;;;;;115.9820
4;01;004;018;01;01;1;00;21;001004;026015;02;1;1;3;2;00;;2;128.2149
4;01;004;018;01;02;1;02;21;026015;001004;00;1;1;4;2;00;;2;128.2149
4;01;004;018;02;01;1;00;21;001004;001004;00;1;2;0;;00;;2;128.2149
4;01;004;018;02;02;1;00;21;001004;001031;02;1;1;3;2;00;;2;128.2149
4;01;004;018;02;03;1;02;21;001031;001004;00;1;1;2;2;00;;2;128.2149
4;01;004;018;02;04;1;00;21;001004;001006;01;1;2;3;2;00;;2;128.2149
4;01;004;018;02;05;1;01;21;001006;001004;00;1;2;0;;00;;2;128.2149
4;01;004;018;02;06;1;00;21;001004;001004;00;1;1;3;2;00;;2;128.2149
4;01;004;018;02;07;1;00;22;001004;001019;02;;;;;;;;128.2149
4;01;004;018;02;08;1;02;22;001019;001004;00;;;;;;;;128.2149
4;01;004;018;03;01;1;00;71;001004;001004;00;;;;;;;;128.2149
4;01;004;018;03;02;1;00;71;001004;001007;00;;;;;;;;128.2149
4;01;004;018;03;03;1;00;71;001017;001004;00;;;;;;;;128.2149
4;01;004;018;03;04;1;00;71;001004;001004;00;;;;;;;;128.2149
4;01;004;018;03;05;1;00;71;001004;001007;00;;;;;;;;128.2149
4;01;004;018;03;06;1;00;71;001007;001004;00;;;;;;;;128.2149
4;01;004;018;03;07;1;00;71;001004;001004;00;;;;;;;;128.2149
4;01;004;018;03;08;1;00;21;001004;001008;00;3;1;3;2;00;;2;128.2149
4;01;004;018;03;09;1;00;21;001008;001004;00;3;1;3;2;00;;2;128.2149
4;01;004;018;04;01;1;00;22;001004;001004;00;;;;;;;;128.2149
4;01;007;019;01;01;1;02;21;001007;001006;02;1;1;3;2;02;;2;022.8455
4;01;007;019;01;02;1;02;21;001006;001007;02;1;1;1;2;00;;2;022.8455
4;01;007;019;02;01;1;05;41;001007;011015;00;;;;;;;;022.8455
4;01;007;019;02;01;2;00;32;011015;036005;20;;;;;;;;022.8455
4;01;007;019;02;02;1;20;32;036005;011015;00;;;;;;;;022.8455
4;01;007;019;02;02;2;00;41;011015;001007;05;;;;;;;;022.8455
4;01;007;019;03;01;1;02;22;001007;001015;01;;;;;;;;022.8455
4;01;007;019;04;01;1;02;21;001007;033009;02;3;1;3;3;02;;1;022.8455
4;01;007;019;04;02;1;02;21;033009;001007;02;3;1;2;2;00;;1;022.8455
4;01;007;019;05;01;1;05;41;001007;011015;00;;;;;;;;022.8455
4;01;007;019;05;01;2;00;32;011015;036005;20;;;;;;;;022.8455
4;01;007;019;05;02;1;20;32;036005;011015;00;;;;;;;;022.8455
4;01;007;019;05;02;2;00;41;011015;001007;05;;;;;;;;022.8455
4;01;007;019;06;01;1;05;41;001007;011015;00;;;;;;;;022.8455
4;01;007;019;06;01;2;00;32;011015;036005;20;;;;;;;;022.8455
4;01;007;019;06;02;1;20;32;036005;011015;00;;;;;;;;022.8455
4;01;007;019;06;02;2;00;41;011005;001007;05;;;;;;;;022.8455
4;01;007;019;07;01;1;00;11;001007;001006;00;;;;;;4;;022.8455
4;01;007;019;07;02;1;00;11;001006;001007;00;;;;;;1;;022.8455
4;01;007;019;07;03;1;00;11;001007;001006;00;;;;;;4;;022.8455
4;01;007;019;07;04;1;00;11;001006;001007;00;;;;;;1;;022.8455
4;01;029;021;01;01;1;00;21;001029;031003;02;1;1;2;3;05;;2;111.7186
4;01;029;021;01;03;1;05;21;031003;001029;00;1;1;1;2;00;;1;111.7186
4;01;011;026;01;01;1;00;21;001011;029005;02;1;1;1;2;00;;1;128.2149
4;01;011;026;01;02;1;01;71;029005;018013;01;;;;;;;;128.2149
4;01;011;026;01;03;1;01;71;018013;029005;01;;;;;;;;128.2149
4;01;011;026;01;04;1;00;21;029005;001011;00;1;1;1;2;00;;1;128.2149
4;01;011;026;02;01;1;00;21;001011;001004;00;2;3;0;;00;;2;128.2149
4;01;011;026;02;02;1;00;21;001004;001006;00;2;3;0;;00;;2;128.2149
4;01;011;026;02;03;1;00;21;001006;012006;01;2;1;3;2;00;;1;128.2149
4;01;011;026;02;06;1;01;21;012006;001004;00;2;1;0;;00;;1;128.2149
4;01;011;026;02;07;1;00;21;001004;001004;00;2;2;0;;00;;2;128.2149
4;01;011;026;02;08;1;00;21;001004;001006;00;2;1;0;;00;;2;128.2149
4;01;011;026;02;09;1;00;21;001006;001011;00;2;2;1;2;00;;2;128.2149
4;01;011;026;02;10;1;00;21;001011;001006;00;2;1;0;;00;;2;128.2149
4;01;011;026;02;11;1;00;21;001006;001012;00;2;2;2;2;00;;2;128.2149
4;01;011;026;02;12;1;00;21;001012;001011;00;2;2;1;2;00;;2;128.2149
4;01;011;026;03;01;1;00;22;001011;001004;00;;;;;;;;128.2149
4;01;011;026;03;04;1;00;22;001004;001004;00;;;;;;;;128.2149
4;01;011;026;03;05;1;00;22;001004;001012;00;;;;;;;;128.2149
4;01;011;026;03;06;1;00;22;001012;001011;00;;;;;;;;128.2149
4;01;011;026;04;01;1;00;22;001011;001004;00;;;;;;;;128.2149
4;01;011;026;04;02;1;00;22;001004;001006;00;;;;;;;;128.2149
4;01;011;026;04;07;1;00;22;001006;001011;00;;;;;;;;128.2149
4;01;030;028;01;01;1;00;21;001030;001004;01;2;1;2;2;00;;2;017.6675
4;01;030;028;01;02;1;01;21;001004;001004;01;2;1;2;2;00;;2;017.6675
4;01;030;028;01;03;1;01;21;001004;001030;01;2;1;2;2;00;;2;017.6675
4;01;030;028;01;04;1;01;21;001030;001004;01;2;1;2;2;00;;2;017.6675
4;01;030;028;01;05;1;01;21;001004;001030;00;2;1;2;2;00;;2;017.6675
4;01;012;030;01;01;1;00;21;011006;011006;02;1;1;3;2;00;;2;115.7969
4;01;012;030;01;02;1;02;21;011006;011009;00;1;1;3;2;00;;2;115.7969
4;01;012;030;01;03;1;00;21;011009;001006;00;1;1;3;2;00;;2;115.7969
4;01;041;031;01;01;1;00;21;001041;800001;20;1;1;3;2;00;;1;111.7186
4;01;041;031;01;02;1;20;21;800001;001041;00;1;1;1;2;00;;1;111.7186
4;01;041;031;01;03;1;00;21;001041;001007;01;1;2;3;2;00;;2;111.7186
4;01;041;031;01;04;1;01;21;001007;001041;00;1;2;1;2;00;;2;111.7186
4;01;041;031;02;01;1;00;22;001041;001007;01;;;;;;;;111.7186
4;01;041;031;02;02;1;01;22;001041;001007;00;;;;;;;;111.7186
4;01;028;033;01;01;1;00;21;001028;027001;05;2;1;3;2;00;;1;111.7186
4;01;028;033;01;02;1;05;21;027001;001028;00;2;1;1;2;00;;1;111.7186
4;01;028;033;02;01;1;00;21;001028;011009;05;1;1;3;2;00;;1;111.7186
4;01;028;033;02;02;1;05;21;011009;001028;00;1;1;1;2;00;;1;111.7186
4;01;028;033;02;03;1;00;21;001028;001035;00;1;1;2;2;00;;2;111.7186
4;01;028;033;02;04;1;00;21;001035;001028;00;1;1;1;2;00;;2;111.7186
4;01;012;034;01;01;1;00;21;001012;001006;02;1;1;3;2;00;;2;115.7969
4;01;012;034;01;02;1;02;21;001006;001012;00;1;1;3;2;00;;2;115.7969
4;01;012;034;01;03;1;00;21;001012;001019;00;1;1;3;2;00;;2;115.7969
4;01;012;034;01;04;1;00;21;001019;001012;00;1;1;3;2;00;;2;115.7969
4;01;012;034;01;05;1;00;21;001006;006009;00;1;1;3;2;00;;2;115.7969
4;01;012;034;01;06;1;00;21;006009;001012;00;1;2;3;2;00;;2;115.7969
4;01;034;036;01;01;1;00;21;001034;025006;00;2;1;2;2;00;;1;115.9820
4;01;034;036;01;06;1;20;21;025006;001034;00;2;1;1;2;00;;1;115.9820
4;01;034;036;02;03;1;00;21;001034;001035;00;1;1;0;;00;;2;115.9820
4;01;034;036;02;04;1;00;21;001035;060002;00;1;2;3;2;00;;2;115.9820
4;01;034;036;02;06;1;02;21;060002;001035;00;1;2;0;;00;;2;115.9820
4;01;034;036;02;07;1;00;21;001035;001034;00;1;1;1;2;00;;2;115.9820
4;01;034;036;02;10;1;00;21;001034;001035;00;1;1;0;;00;;2;115.9820
4;01;034;036;02;11;1;00;21;001035;060002;00;1;2;1;2;00;;2;115.9820
4;01;034;036;02;12;1;00;21;060002;001035;00;1;2;0;;00;;2;115.9820
4;01;034;036;02;13;1;00;21;001035;001034;00;1;1;1;2;00;;2;115.9820
4;01;012;038;01;01;1;00;22;001012;006003;00;;;;;;;;111.7186
4;01;012;038;01;02;1;00;22;006003;006006;00;;;;;;;;111.7186
4;01;012;038;01;03;1;00;22;006006;001012;00;;;;;;;;111.7186
4;01;012;038;02;01;1;00;21;001012;006003;00;1;2;3;2;00;;2;111.7186
4;01;012;038;02;02;1;00;21;006003;006006;00;1;2;3;2;00;;2;111.7186
4;01;012;038;02;03;1;00;21;006006;001012;00;1;2;1;2;00;;2;111.7186
4;01;030;040;01;01;1;00;21;001030;014007;00;1;1;2;2;00;;2;111.7186
4;01;030;040;01;02;1;00;21;014007;006014;00;1;1;3;2;00;;2;111.7186
4;01;030;040;01;03;1;00;21;006014;001030;00;1;1;3;2;00;;2;111.7186
4;01;030;040;01;04;1;00;21;001030;014007;00;1;1;1;2;00;;2;111.7186
4;01;030;040;02;01;1;00;21;001030;014007;00;2;1;3;2;00;;2;111.7186
4;01;030;040;02;02;1;00;81;014007;921231;00;;;;;;;;111.7186
4;01;030;040;02;03;1;00;81;921231;014007;00;;;;;;;;111.7186
4;01;030;040;02;04;1;00;21;014007;001030;00;2;1;2;1;00;;2;111.7186
4;01;037;042;01;01;1;00;21;001033;028005;02;1;1;3;2;00;;2;115.7969
4;01;037;042;01;02;1;02;21;028005;011015;00;1;1;1;2;00;;2;115.7969
4;01;037;042;01;03;1;00;21;011015;028005;00;1;1;1;2;00;;2;115.7969
4;01;037;042;01;04;1;00;21;028005;007013;00;1;1;0;;00;;1;115.7969
4;01;037;042;01;05;1;00;21;007013;001037;00;1;1;1;2;00;;1;115.7969
4;01;040;043;02;01;1;00;21;001040;001006;00;1;1;3;2;00;;2;111.7186
4;01;040;043;02;02;1;00;21;001006;001040;00;1;1;3;2;00;;2;111.7186
4;01;022;044;01;01;1;00;21;001022;011003;00;1;2;0;;00;;2;111.7186
4;01;022;044;01;02;1;00;21;011003;025017;00;1;1;3;2;00;;2;111.7186
4;01;022;044;01;03;1;00;21;025017;028005;00;1;1;3;2;00;;2;111.7186
4;01;022;044;01;04;1;00;21;028005;011003;00;1;1;0;;00;;2;111.7186
4;01;022;044;01;05;1;00;21;011003;001022;00;1;2;1;2;00;;2;111.7186
4;01;022;044;02;01;1;00;22;001022;011003;00;;;;;;;;111.7186
4;01;022;044;02;02;1;00;22;011003;001022;00;;;;;;;;111.7186
4;01;037;046;01;01;1;00;21;001037;001004;00;2;1;3;2;00;;2;115.7969
4;01;037;046;01;02;1;00;21;001004;001037;00;2;1;1;2;00;;2;115.7969
4;01;034;047;01;01;1;00;21;001034;001017;00;1;1;3;2;00;;2;111.7186
4;01;034;047;01;02;1;00;21;001017;001034;00;1;1;1;2;00;;2;111.7186
4;01;034;047;01;03;1;00;22;001034;001032;00;;;;;;;;111.7186
4;01;032;049;01;01;1;00;21;001032;968063;00;3;1;3;2;00;;1;115.9820
4;01;032;049;01;02;1;00;21;968063;001032;00;3;1;3;2;00;;1;115.9820
4;01;032;049;01;03;1;00;21;001032;001033;00;3;2;2;2;00;;2;115.9820
4;01;032;049;01;04;1;00;21;001033;048001;00;3;3;2;2;00;;2;115.9820
4;01;032;049;01;05;1;00;21;048001;006002;00;3;3;2;2;00;;2;115.9820
4;01;032;049;01;06;1;00;21;006002;001033;00;3;2;2;2;00;;2;115.9820
4;01;032;049;01;07;1;00;21;001033;001032;00;3;1;3;2;00;;2;115.9820
4;01;032;049;02;01;1;00;22;001032;028002;00;;;;;;;;115.9820
4;01;032;049;02;02;1;00;21;028002;001034;00;2;1;2;2;00;;2;115.9820
4;01;032;049;02;03;1;00;21;001034;001032;00;2;1;2;2;00;;2;115.9820
4;01;032;049;02;04;1;00;21;001032;001034;00;2;1;2;2;00;;2;115.9820
4;01;032;049;02;05;1;00;21;001034;001032;00;2;1;2;2;00;;2;115.9820
4;01;032;049;02;06;1;00;21;001032;001006;00;2;1;2;2;00;;2;115.9820
4;01;032;049;02;07;1;00;21;001006;001004;00;2;1;2;2;00;;2;115.9820
4;01;032;049;02;08;1;00;21;001004;001032;00;2;1;2;2;00;;2;115.9820
4;01;032;049;02;09;1;00;21;001032;001034;00;2;1;2;2;00;;2;115.9820
4;01;032;049;02;10;1;00;21;001034;001032;00;2;1;2;2;00;;2;115.9820
4;01;032;049;02;11;1;00;21;001032;041010;00;2;1;2;2;00;;2;115.9820
4;01;032;049;02;12;1;00;21;041010;001032;00;2;1;1;2;00;;2;115.9820
4;01;032;049;03;01;1;00;21;001032;028002;00;2;2;0;;00;;1;115.9820
4;01;032;049;03;02;1;00;22;028002;001032;00;;;;;;;;115.9820
4;01;032;049;03;03;1;00;11;001032;001034;00;;;;;;8;;115.9820
4;01;032;049;03;04;1;00;11;001034;001032;00;;;;;;1;;115.9820
4;01;032;049;03;05;1;00;22;001004;018003;00;;;;;;;;115.9820
4;01;032;049;03;06;1;00;22;018003;037007;10;;;;;;;;115.9820
4;01;032;049;03;07;1;10;22;037007;001032;00;;;;;;;;115.9820
4;01;006;054;01;01;1;00;21;001006;043015;00;1;2;2;2;00;;2;111.7186
4;01;006;054;01;02;1;00;21;043015;001006;00;1;2;1;2;00;;2;111.7186
4;01;006;054;02;01;1;00;22;001006;043015;00;;;;;;;;111.7186
4;01;006;054;02;02;1;00;22;043015;001006;00;;;;;;;;111.7186
4;01;029;057;01;01;1;00;21;001029;032012;00;1;1;3;2;00;;1;111.7186
4;01;029;057;01;02;1;00;21;032012;001029;00;1;1;1;2;00;;1;111.7186
4;01;029;057;02;01;1;00;21;001029;001039;00;2;1;2;2;00;;2;111.7186
4;01;029;057;02;02;1;00;21;001039;001004;00;2;2;3;2;00;;2;111.7186
4;01;029;057;02;03;1;00;21;001004;001006;00;2;2;3;2;00;;2;111.7186
4;01;029;057;02;04;1;00;21;001006;001039;00;2;2;2;2;00;;2;111.7186
4;01;029;057;02;05;1;00;21;001039;001029;00;2;1;1;2;00;;2;111.7186
4;01;022;058;01;01;1;00;21;001022;036004;15;1;1;4;3;05;;2;115.7969
4;01;022;058;01;02;1;15;21;036004;001022;00;1;1;1;2;00;;2;115.7969
4;01;024;061;01;01;1;00;21;001024;001023;00;2;1;1;2;00;;2;115.9820
4;01;024;061;01;02;1;00;21;001023;001024;00;2;1;1;2;00;;2;115.9820
4;01;024;061;01;03;1;00;21;001024;001023;00;2;1;1;2;00;;2;115.9820
4;01;024;061;01;04;1;00;21;001023;001024;00;2;1;1;2;00;;2;115.9820
4;01;024;061;01;05;1;00;21;001024;001021;00;1;2;0;;00;;2;115.9820
4;01;024;061;01;06;1;00;21;001021;001023;00;1;1;3;2;00;;2;115.9820
4;01;024;061;01;07;1;00;21;001023;001021;00;1;1;0;;00;;2;115.9820
4;01;024;061;01;08;1;00;21;001021;001024;00;1;2;1;2;00;;2;115.9820
4;01;024;061;02;01;1;00;21;001022;001022;00;1;1;3;2;00;;2;115.9820
4;01;024;061;02;02;1;00;21;001022;001037;00;1;1;3;2;00;;2;115.9820
4;01;024;061;02;03;1;00;21;001037;001037;00;1;1;1;2;00;;2;115.9820
4;01;024;061;02;04;1;00;21;001037;001024;00;1;1;1;2;00;;2;115.9820
4;01;024;061;02;05;1;00;22;001024;001021;;;;;;;;;115.9820
4;01;024;061;02;06;1;00;22;001021;001024;;;;;;;;;115.9820
4;01;021;063;01;01;1;00;21;001021;027008;00;2;1;1;2;00;;2;128.2149
4;01;021;063;01;02;1;00;21;027008;027011;00;5;2;1;2;00;;2;128.2149
4;01;021;063;01;03;1;00;21;027011;028013;00;5;2;1;2;00;;2;128.2149
4;01;021;063;01;04;1;00;21;028013;027008;00;5;1;1;2;00;;2;128.2149
4;01;021;063;01;05;1;00;21;027008;028012;00;5;1;1;2;00;;2;128.2149
4;01;021;063;01;06;1;00;21;028012;027008;00;5;1;1;2;00;;2;128.2149
4;01;021;063;01;07;1;00;21;027008;011009;00;1;1;4;2;00;;2;128.2149
4;01;021;063;01;08;1;00;21;011009;027008;00;1;1;1;2;00;;2;128.2149
4;01;021;063;01;09;1;00;21;027008;028013;00;5;2;1;2;00;;2;128.2149
4;01;021;063;01;10;1;00;21;028013;032008;00;5;1;1;2;00;;2;128.2149
4;01;021;063;01;11;1;00;21;032008;027008;00;5;1;1;2;00;;2;128.2149
4;01;021;063;01;12;1;00;21;027008;001021;00;1;1;1;2;00;;2;128.2149
4;01;021;063;01;13;1;00;21;001021;001022;00;2;2;0;;00;;2;128.2149
4;01;021;063;01;14;1;00;21;001022;001021;00;2;1;1;2;00;;2;128.2149
4;01;021;063;02;01;1;00;21;001021;060041;00;1;1;1;2;00;;2;128.2149
4;01;021;063;02;02;1;00;21;060041;001021;00;1;1;1;2;00;;2;128.2149
4;01;021;063;02;03;1;00;21;001021;060041;00;1;1;1;2;00;;2;128.2149
4;01;021;063;02;04;1;00;21;060041;001021;00;1;1;1;2;00;;2;128.2149
4;01;021;063;02;05;1;00;21;001021;001022;00;1;1;1;2;00;;2;128.2149
4;01;021;063;02;06;1;00;21;001022;001021;00;1;1;1;2;00;;2;128.2149
4;01;021;063;03;01;1;00;11;001021;001022;00;;;;;;4;;128.2149
4;01;021;063;03;02;1;00;11;001022;001021;00;;;;;;1;;128.2149
