CODE_IRIS,APET700,TEFET,LIBTEFET
674820701,6420Z,00,0 salarié
674820701,8110Z,01,1 ou 2 salariés
674820701,8110Z,01,1 ou 2 salariés
674820701,8110Z,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,8110Z,01,1 ou 2 salariés
674820701,8110Z,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,8110Z,01,1 ou 2 salariés
674820701,8110Z,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,8110Z,01,1 ou 2 salariés
674820701,8110Z,00,0 salarié
674820701,8110Z,01,1 ou 2 salariés
674820701,8110Z,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,8110Z,01,1 ou 2 salariés
674820701,8110Z,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,8110Z,01,1 ou 2 salariés
674820701,8110Z,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,8110Z,01,1 ou 2 salariés
674820701,8110Z,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,8110Z,01,1 ou 2 salariés
674820701,8110Z,00,0 salarié
674820701,8110Z,01,1 ou 2 salariés
674820701,8110Z,00,0 salarié
674820701,8421Z,03,6 à 9 salariés
674820701,8411Z,11,10 à 19 salariés
674820701,7220Z,00,0 salarié
674820701,9491Z,01,1 ou 2 salariés
674820701,8891A,00,0 salarié
674820701,8622A,00,0 salarié
674820701,8622C,02,3 à 5 salariés
674820701,8621Z,00,0 salarié
674820701,6820A,00,0 salarié
674820701,1320Z,00,0 salarié
674820701,9499Z,00,0 salarié
674820701,6820A,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,8690E,00,0 salarié
674820701,6619A,00,0 salarié
674820701,8623Z,01,1 ou 2 salariés
674820701,7219Z,00,0 salarié
674820701,8622B,01,1 ou 2 salariés
674820701,9499Z,11,10 à 19 salariés
674820701,8559A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,9499Z,00,0 salarié
674820701,8621Z,00,0 salarié
674820701,5629B,00,0 salarié
674820701,6820B,01,1 ou 2 salariés
674820701,6820B,00,0 salarié
674820701,9900Z,11,10 à 19 salariés
674820701,7111Z,01,1 ou 2 salariés
674820701,9900Z,01,1 ou 2 salariés
674820701,8622C,01,1 ou 2 salariés
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,9003B,00,0 salarié
674820701,8622C,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6622Z,01,1 ou 2 salariés
674820701,8531Z,00,0 salarié
674820701,6831Z,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820A,00,0 salarié
674820701,7490B,00,0 salarié
674820701,8690E,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,7022Z,03,6 à 9 salariés
674820701,6820A,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820A,00,0 salarié
674820701,0240Z,00,0 salarié
674820701,8219Z,01,1 ou 2 salariés
674820701,6820A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820B,NN,Unités non employeuses
674820701,6820B,00,0 salarié
674820701,8622C,00,0 salarié
674820701,9499Z,01,1 ou 2 salariés
674820701,6820B,00,0 salarié
674820701,8623Z,02,3 à 5 salariés
674820701,8219Z,02,3 à 5 salariés
674820701,6910Z,00,0 salarié
674820701,8690F,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,4399D,00,0 salarié
674820701,6820B,00,0 salarié
674820701,8623Z,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,8622C,00,0 salarié
674820701,6820B,01,1 ou 2 salariés
674820701,8621Z,00,0 salarié
674820701,8623Z,01,1 ou 2 salariés
674820701,8621Z,00,0 salarié
674820701,6820B,01,1 ou 2 salariés
674820701,6820A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,9499Z,01,1 ou 2 salariés
674820701,4941B,00,0 salarié
674820701,7111Z,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6619A,00,0 salarié
674820701,8622C,01,1 ou 2 salariés
674820701,6820A,00,0 salarié
674820701,8623Z,00,0 salarié
674820701,9900Z,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820B,00,0 salarié
674820701,1071D,03,6 à 9 salariés
674820701,8622C,01,1 ou 2 salariés
674820701,5520Z,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820A,00,0 salarié
674820701,7022Z,00,0 salarié
674820701,6420Z,00,0 salarié
674820701,6820A,00,0 salarié
674820701,8623Z,00,0 salarié
674820701,6820B,00,0 salarié
674820701,8219Z,02,3 à 5 salariés
674820701,6820B,00,0 salarié
674820701,6820A,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,9003B,00,0 salarié
674820701,7112B,02,3 à 5 salariés
674820701,8899B,00,0 salarié
674820701,7311Z,03,6 à 9 salariés
674820701,6820A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820B,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,4672Z,01,1 ou 2 salariés
674820701,8621Z,00,0 salarié
674820701,8623Z,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,4646Z,01,1 ou 2 salariés
674820701,7111Z,00,0 salarié
674820701,6820A,00,0 salarié
674820701,4110D,00,0 salarié
674820701,9003A,00,0 salarié
674820701,5510Z,00,0 salarié
674820701,7490B,00,0 salarié
674820701,8110Z,01,1 ou 2 salariés
674820701,6820A,00,0 salarié
674820701,8110Z,01,1 ou 2 salariés
674820701,6820A,00,0 salarié
674820701,9499Z,00,0 salarié
674820701,6820B,00,0 salarié
674820701,9499Z,01,1 ou 2 salariés
674820701,6820A,00,0 salarié
674820701,8219Z,02,3 à 5 salariés
674820701,6820A,00,0 salarié
674820701,9499Z,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,6820A,00,0 salarié
674820701,8110Z,01,1 ou 2 salariés
674820701,8110Z,01,1 ou 2 salariés
674820701,8622C,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6910Z,02,3 à 5 salariés
674820701,8110Z,00,0 salarié
674820701,7010Z,00,0 salarié
674820701,8110Z,01,1 ou 2 salariés
674820701,8621Z,01,1 ou 2 salariés
674820701,6820A,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,4110D,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820B,01,1 ou 2 salariés
674820701,6820B,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820B,00,0 salarié
674820701,5030Z,00,0 salarié
674820701,6820B,00,0 salarié
674820701,9499Z,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6910Z,00,0 salarié
674820701,8211Z,00,0 salarié
674820701,6820B,00,0 salarié
674820701,5610A,03,6 à 9 salariés
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,NN,Unités non employeuses
674820701,6831Z,00,0 salarié
674820701,8622C,00,0 salarié
674820701,7022Z,00,0 salarié
674820701,8623Z,01,1 ou 2 salariés
674820701,6820A,00,0 salarié
674820701,7010Z,03,6 à 9 salariés
674820701,8110Z,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6910Z,01,1 ou 2 salariés
674820701,6820B,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,6920Z,02,3 à 5 salariés
674820701,8622B,00,0 salarié
674820701,8110Z,00,0 salarié
674820701,6820B,00,0 salarié
674820701,8219Z,02,3 à 5 salariés
674820701,7111Z,03,6 à 9 salariés
674820701,6820B,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6831Z,00,0 salarié
674820701,7022Z,00,0 salarié
674820701,9002Z,00,0 salarié
674820701,7022Z,00,0 salarié
674820701,8621Z,00,0 salarié
674820701,6820A,00,0 salarié
674820701,6820B,00,0 salarié
674820701,6820B,00,0 salarié
