DCOMIRIS,AllDwellings,size,Home_getaway
670010000,957,892,6
670020000,205,166,4
670030000,368,197,153
670040000,733,619,45
670050000,371,343,2
670060000,82,77,0
670080000,585,554,0
670090000,214,170,12
670100000,934,769,93
670110000,436,395,15
670120000,293,270,3
670130000,125,112,5
670160000,361,313,10
670170000,125,113,3
670180000,301,268,11
670190000,577,493,14
670200000,408,363,8
670210101,1812,1431,46
670210102,1754,1595,37
670220000,122,103,8
670230000,419,399,1
670250000,1031,862,48
670260000,132,63,56
670270000,207,75,124
670280000,2751,2516,27
670290000,195,170,5
670300000,298,273,13
670310000,672,598,15
670320000,117,93,15
670330000,259,237,0
670340000,1068,985,11
670350000,207,169,3
670360000,150,133,2
670370000,167,152,4
670380000,115,108,1
670390000,192,187,0
670400000,442,407,10
670430101,16,16,0
670430102,1547,1478,11
670430103,1334,1185,6
670430104,1503,1410,7
670430201,1583,1407,16
670430202,872,795,27
670430203,873,834,3
670430204,863,792,3
670440000,118,111,1
670450000,1536,1403,47
670460101,954,847,9
670460102,1046,945,10
670460103,1151,1092,8
670460104,1057,950,3
670460105,972,905,3
670470000,74,59,2
670480000,208,192,3
670490000,592,547,12
670500000,34,16,19
670510000,190,150,17
670520000,1374,1088,210
670530000,139,125,6
670540000,212,193,7
670550000,597,536,19
670560000,313,283,5
670570000,85,68,3
670580000,167,155,2
670590000,317,201,83
670600000,292,263,7
670610000,1898,1607,49
670620000,178,127,39
670630000,382,301,41
670650000,554,517,6
670660000,1434,1194,104
670670101,1228,1171,5
670670102,1572,1447,10
670670103,1347,1191,14
670670104,301,284,0
670680000,113,106,4
670690000,227,213,0
670700000,144,124,9
670710000,219,188,9
670720000,303,275,6
670730000,1885,1701,33
670740000,331,283,23
670750000,228,183,11
670760000,298,208,70
670770000,256,236,6
670780000,116,100,2
670790000,76,68,1
670800000,741,703,6
670810000,333,304,10
670820000,497,457,7
670830000,487,335,99
670840000,1114,932,48
670850000,299,277,6
670860000,171,161,2
670870000,573,533,5
670880000,169,149,8
670890000,1271,1111,17
670900000,323,278,15
670910000,162,142,8
670920000,298,266,14
670930000,147,136,0
670940000,112,103,2
670950000,781,689,17
670960000,149,131,7
670970000,595,556,4
670980000,659,584,7
670990000,129,114,3
671000000,145,136,1
671010000,1203,1080,7
671020000,117,111,0
671030000,517,467,12
671040000,372,304,10
671050000,668,587,10
671060000,2227,2074,13
671070000,270,246,7
671080000,727,666,7
671090000,274,253,3
671100000,500,439,5
671110000,200,176,8
671120000,1245,1185,6
671130000,206,169,4
671150000,1006,915,14
671160000,228,214,4
671170000,230,186,17
671180101,1557,1462,14
671180102,1678,1560,24
671190000,601,556,6
671200000,242,213,12
671210000,355,327,8
671220000,835,602,197
671230000,211,203,0
671240000,1105,899,125
671250000,1063,947,36
671260000,169,118,41
671270000,562,540,4
671280000,824,790,6
671290000,314,247,17
671300101,930,856,9
671300102,1820,1582,22
671300103,1147,1062,7
671300104,1561,1427,14
671310000,2364,2188,24
671320000,399,374,4
671330000,286,214,46
671340000,76,66,1
671350000,335,302,5
671360000,132,117,2
671370000,2518,2383,16
671380000,217,204,7
671390000,210,185,9
671400000,346,318,2
671410000,255,237,2
671420000,146,128,7
671430000,319,266,36
671440000,195,146,22
671450000,87,82,0
671460000,269,241,7
671470000,236,207,4
671480000,108,78,19
671490000,167,157,2
671500000,557,522,9
671510000,2293,2087,14
671520101,1809,1683,10
671520102,1380,1306,7
671530000,167,161,1
671540000,1437,1346,10
671550000,590,526,21
671560000,1228,1045,2
671590000,114,105,3
671600000,496,428,18
671610000,169,156,2
671620000,144,136,2
671630000,241,219,10
671640000,379,347,2
671650000,241,165,54
671660000,104,94,1
671670000,704,522,132
671680000,720,678,16
671690000,1305,1172,7
671720000,938,872,9
671730000,502,476,3
671740000,514,478,4
671760000,1723,1558,27
671770000,334,294,4
671780000,129,119,2
671790000,345,296,9
671800101,1874,1561,79
671800102,1956,1624,49
671800201,855,766,8
671800202,1423,1281,16
671800203,1694,1565,21
671800204,48,42,0
671800205,523,494,0
671800301,1190,1095,11
671800302,1532,1404,9
671800401,88,78,0
671800402,1267,1193,13
671800403,1358,1198,9
671800404,133,120,1
671800501,1289,1181,9
671800502,1152,1073,6
671800503,801,724,11
671810000,124,120,0
671820000,710,660,6
671830000,424,361,4
671840000,914,846,12
671850000,319,288,1
671860000,175,163,6
671870000,216,197,5
671880000,308,270,20
671890000,470,404,22
671900000,96,84,3
671910000,887,799,11
671920000,398,373,3
671940000,2139,2022,11
671950000,271,248,6
671960000,1074,969,15
671970000,637,592,8
671980000,68,50,9
671990000,44,36,0
672000000,407,387,6
672010000,170,141,4
672020000,1818,1632,19
672030000,149,139,1
672040101,1286,1207,4
672040102,1318,1186,11
672040103,886,844,3
672040104,777,725,6
672040105,1114,1040,6
672050000,1961,1802,6
672060000,563,490,9
672080000,224,208,3
672090000,112,104,0
672100000,569,252,289
672120000,1668,1558,18
672130000,316,277,15
672140000,372,345,4
672150000,207,194,1
672160000,1132,1062,4
672170000,150,141,4
672180101,122,104,0
672180102,1143,1020,28
672180103,1870,1728,30
672180104,1919,1719,53
672180201,2929,2422,161
672180202,1425,1214,28
672180203,1327,1257,6
672180301,1119,1025,17
672180302,1070,1031,3
672180303,1504,1389,6
672200000,164,129,6
672210000,125,114,2
672220000,1876,1688,21
672230000,515,473,6
672250000,51,44,4
672260000,973,921,7
672270000,137,104,16
672280000,317,306,1
672290000,76,71,0
672300000,976,917,5
672310000,103,93,3
672320000,92,80,2
672330000,534,494,5
672340000,781,669,16
672350000,210,189,1
672360000,235,222,4
672370000,1083,1023,5
672380000,279,254,6
672390000,820,694,38
672400000,304,278,5
672410000,91,74,4
672420000,257,224,3
672440000,71,67,1
672450000,90,82,1
672460000,541,505,8
672470000,411,377,2
672480000,748,691,3
672490000,98,85,0
672500000,292,279,0
672520000,448,419,1
672530000,282,255,4
672540000,433,378,15
672550000,357,202,132
672560000,1578,1469,8
672570000,362,317,22
672580000,74,70,0
672590000,429,368,13
672600000,144,132,2
672610000,1160,1033,22
672630000,914,642,117
672640000,414,368,5
672650000,341,237,82
672660000,286,263,11
672670101,1897,1766,35
672670102,1100,1043,7
672670201,547,512,6
672670202,1013,933,5
672670203,1097,1033,17
672670301,1315,1165,23
672670302,1912,1726,24
672680000,1178,1108,10
672690000,117,107,4
672700000,140,132,2
672710000,279,244,15
672720000,175,163,1
672730000,233,199,12
672740000,126,106,7
672750000,351,331,2
672760000,872,746,63
672770000,339,319,2
672780000,284,250,2
672790000,84,79,1
672800000,397,343,16
672810000,1913,1685,32
672820000,1972,1830,25
672830000,1264,1136,15
672850000,595,562,2
672860000,666,617,1
672870000,236,216,3
672880000,153,141,4
672890000,277,244,9
672900000,425,381,16
672910000,1427,1309,17
672920000,284,257,13
672930000,262,250,1
672950000,331,272,20
672960000,1042,976,15
672980000,227,209,6
672990000,448,366,43
673000101,1299,1132,16
673000102,1132,1030,15
673000103,1074,1028,8
673000104,1022,944,5
673010000,900,824,5
673020000,1001,903,8
673030000,355,259,52
673040000,239,225,1
673050000,972,887,6
673060000,310,251,32
673070000,196,183,6
673080000,364,331,9
673090101,1090,1019,7
673090102,1088,1039,7
673100000,522,454,22
673110000,937,847,20
673120000,172,167,1
673130101,1544,1345,34
673130102,1234,1032,111
673140000,318,244,33
673150000,305,277,3
673170000,315,279,17
673190000,166,152,3
