DCOMIRIS,Work,size
670010000,493,1236.75
670020000,187,808.125
670030000,18,0
670040000,251,0
670050000,48,107.75
670060000,43,0
670080000,557,107.75
670090000,38,0
670100000,722,698.7
670110000,161,107.75
670120000,44,107.75
670130000,18,0
670160000,44,0
670170000,14,0
670180000,71,0
670190000,410,107.75
670200000,453,107.75
670210101,1017,2815.875
670210102,680,646.5
670220000,205,0
670230000,100,215.5
670250000,1175,643.15
670260000,26,0
670270000,58,0
670280000,2898,8146.425
670290000,27,0
670300000,113,0
670310000,185,915.875
670320000,20,0
670330000,268,215.5
670340000,176,431
670350000,160,215.5
670360000,12,0
670370000,49,0
670380000,12,0
670390000,45,0
670400000,169,0
670430101,2258,1562.375
670430102,390,1346.875
670430103,280,754.25
670430104,283,1344.5
670430201,1277,1286.3
670430202,456,538.75
670430203,173,107.75
670430204,222,646.5
670440000,8,0
670450000,1088,1724
670460101,1028,0
670460102,1395,3627.625
670460103,302,215.5
670460104,1311,4895.925
670460105,480,104.4
670470000,4,0
670480000,31,0
670490000,130,107.75
670500000,0,0
670510000,78,0
670520000,260,1075.825
670530000,37,0
670540000,35,0
670550000,222,2819.5
670560000,38,0
670570000,18,0
670580000,35,0
670590000,20,0
670600000,49,107.75
670610000,2109,3282.325
670620000,22,0
670630000,252,0
670650000,186,538.75
670660000,525,2806.8
670670101,1710,4453.75
670670102,1014,3445.625
670670103,1457,1387.35
670670104,625,215.5
670680000,8,0
670690000,24,0
670700000,33,0
670710000,34,0
670720000,40,215.5
670730000,1358,1181.9
670740000,72,0
670750000,99,0
670760000,151,0
670770000,36,0
670780000,47,0
670790000,6,0
670800000,416,4471.625
670810000,89,0
670820000,34,215.5
670830000,93,0
670840000,558,646.5
670850000,71,0
670860000,10,0
670870000,200,1885.625
670880000,14,0
670890000,597,1232.425
670900000,97,0
670910000,37,0
670920000,92,0
670930000,12,0
670940000,26,0
670950000,965,4920.625
670960000,63,0
670970000,89,431
670980000,165,538.75
670990000,47,107.75
671000000,65,107.75
671010000,1236,22829.575
671020000,18,0
671030000,145,0
671040000,65,915.875
671050000,919,1968.25
671060000,1453,2368.125
671070000,54,323.25
671080000,2485,0
671090000,59,0
671100000,202,375.45
671110000,84,0
671120000,1394,4684.75
671130000,12,0
671150000,229,431
671160000,67,0
671170000,31,808.125
671180101,3085,2424.375
671180102,463,2033.85
671190000,105,646.5
671200000,214,0
671210000,107,107.75
671220000,204,215.5
671230000,41,0
671240000,4219,2223.25
671250000,529,1607.875
671260000,47,0
671270000,464,323.25
671280000,666,646.5
671290000,118,215.5
671300101,969,538.75
671300102,1165,15591.925
671300103,2843,2316.625
671300104,1836,0
671310000,1165,6770.375
671320000,440,0
671330000,55,0
671340000,6,0
671350000,32,0
671360000,39,0
671370000,1651,6082.15
671380000,34,107.75
671390000,28,0
671400000,41,0
671410000,52,0
671420000,41,0
671430000,63,0
671440000,14,0
671450000,8,0
671460000,36,0
671470000,24,0
671480000,6,0
671490000,67,0
671500000,309,215.5
671510000,575,1720.65
671520101,948,2043.9
671520102,5025,36158.05
671530000,29,0
671540000,498,750.9
671550000,437,4453.75
671560000,292,1145.75
671590000,20,0
671600000,166,0
671610000,6,0
671620000,31,107.75
671630000,53,0
671640000,170,107.75
671650000,37,0
671660000,8,0
671670000,143,107.75
671680000,131,0
671690000,297,646.5
671720000,383,215.5
671730000,144,0
671740000,52,0
671760000,1340,2799.125
671770000,33,0
671780000,25,0
671790000,45,0
671800101,2830,28225.75
671800102,2180,7003.75
671800201,66,0
671800202,521,639.8
671800203,280,3984.375
671800204,1926,1562.375
671800205,2833,16899
671800301,662,754.25
671800302,408,2960.75
671800401,474,3448
671800402,873,2206.5
671800403,1127,431
671800404,307,431
671800501,1125,1038
671800502,167,822.5
671800503,242,107.75
671810000,61,215.5
671820000,837,107.75
671830000,41,0
671840000,669,1253.5
671850000,82,0
671860000,14,0
671870000,36,0
671880000,116,107.75
671890000,102,107.75
671900000,26,215.5
671910000,124,822.5
671920000,79,0
671940000,1165,6013.75
671950000,20,0
671960000,656,1576.75
671970000,325,969.75
671980000,16,0
671990000,16,0
672000000,54,0
672010000,34,107.75
672020000,1379,4806.875
672030000,83,0
672040101,365,323.25
672040102,402,646.5
672040103,70,431
672040104,70,215.5
672040105,1159,6554.875
672050000,4563,7233.625
672060000,173,107.75
672080000,51,0
672090000,53,0
672100000,109,107.75
672120000,1901,3553.375
672130000,44,0
672140000,68,1023.625
672150000,91,0
672160000,437,754.25
672170000,16,0
672180101,2269,0
672180102,301,646.5
672180103,1610,3986.75
672180104,1099,1885.625
672180201,8679,27725.5
672180202,602,862
672180203,276,2475.875
672180301,120,1885.625
672180302,132,0
672180303,1289,1344.5
672200000,22,0
672210000,27,0
672220000,2345,12209.375
672230000,91,323.25
672250000,6,0
672260000,360,1400.75
672270000,50,0
672280000,85,107.75
672290000,22,0
672300000,223,323.25
672310000,16,431
672320000,6,0
672330000,209,215.5
672340000,365,215.5
672350000,16,0
672360000,48,0
672370000,771,1021.25
672380000,45,0
672390000,260,431
672400000,83,0
672410000,18,0
672420000,317,0
672440000,12,0
672450000,22,0
672460000,222,107.75
672470000,44,323.25
672480000,414,483.2
672490000,8,0
672500000,54,646.5
672520000,58,107.75
672530000,121,0
672540000,71,0
672550000,33,0
672560000,813,17812.375
672570000,41,0
672580000,504,808.125
672590000,111,0
672600000,10,0
672610000,937,1293
672630000,271,538.75
672640000,428,0
672650000,66,323.25
672660000,26,0
672670101,323,1346.875
672670102,201,0
672670201,847,215.5
672670202,152,431
672670203,266,0
672670301,1426,5527.9
672670302,678,1670.125
672680000,576,215.5
672690000,20,0
672700000,48,0
672710000,49,0
672720000,14,107.75
672730000,30,0
672740000,28,215.5
672750000,69,0
672760000,339,646.5
672770000,31,0
672780000,46,808.125
672790000,57,0
672800000,50,431
672810000,1797,4220.25
672820000,1495,7302.15
672830000,925,8674
672850000,218,538.75
672860000,176,267.7
672870000,73,0
672880000,8,0
672890000,43,0
672900000,439,808.125
672910000,1438,2530.45
672920000,105,107.75
672930000,37,107.75
672950000,104,0
672960000,188,1023.625
672980000,45,215.5
672990000,92,0
673000101,747,3070.875
673000102,822,2205.525
673000103,4602,4541.125
673000104,906,107.75
673010000,994,2693.75
673020000,1695,1825.05
673030000,351,808.125
673040000,75,0
673050000,173,538.75
673060000,124,0
673070000,37,0
673080000,68,0
673090101,2049,3067.525
673090102,2936,30080.625
673100000,106,431
673110000,551,1722.325
673120000,24,0
673130101,520,3501.875
673130102,475,2850.625
673140000,52,0
673150000,14,0
673170000,26,0
673190000,20,0
673200000,463,2173
673210000,22,0
673220000,131,215.5
673240000,1524,3300.75
673250000,193,646.5
673260000,528,1023.625
673270000,125,107.75
673280000,584,1129
673290000,73,0
673300000,171,323.25
673310000,172,323.25
673330000,20,0
673340000,43,0
673350000,60,431
673360000,592,215.5
673370000,76,215.5
673380000,162,323.25
673390000,905,1684.5
673400000,362,215.5
673410000,30,0
673420000,138,159.95
673430000,2799,8309.025
673440000,53,107.75
673450000,679,4253.75
673460000,24,0
673470000,128,323.25
673480101,218,215.5
673480102,2934,12423.75
673480103,1434,10721.125
673480104,1719,431
673480105,1174,4519.775
673490000,24,0
673500000,332,538.75
673510000,146,215.5
673520000,10,0
673530000,20,0
673540000,45,0
673550000,247,754.25
673560000,252,267.7
673580000,58,0
673590000,67,808.125
673600000,141,107.75
673610000,29,0
673620000,99,0
673630000,38,0
673640000,57,107.75
673650101,1647,6447.125
673650102,703,1454.625
673650103,101,646.5
673650104,183,930.25
673650105,403,915.875
673660000,22,0
673670000,162,2208.875
673680000,373,215.5
673690000,8,0
673700000,794,0
673710000,335,538.75
673720000,1271,2848.675
673730000,29,107.75
673750000,85,107.75
673770000,156,0
673780000,390,1181.9
673790000,58,0
673800000,12,0
673810000,14,0
673820000,66,215.5
673830000,28,0
673840000,26,0
673850000,10,0
673860000,52,0
673870000,26,107.75
673880101,924,2689
673880102,1602,1762.1
673890000,2279,1667.75
673910000,18,0
673920000,77,0
673940000,10,0
673950000,37,107.75
673960000,36,0
673970000,417,431
673980000,20,0
674000000,51,0
674010000,29,215.5
674030000,42,0
674040000,53,538.75
674050000,410,2368.125
674060000,77,0
674070000,89,215.5
674080000,120,0
674090000,793,31732.375
674100000,69,107.75
674110000,1867,5718.7
674120000,36,0
674130000,18,0
674140000,159,1885.625
674150000,70,0
674160000,66,0
674170000,16,0
