nom_etabli,size,adresse,code_posta,DEPCOM,NOM_COM,IRIS,DCOMIRIS,NOM_IRIS,TYP_IRIS
COLLEGE NICOLAS COPERNIC,373,Rue DU STADE,67120,67108,Duppigheim,0,671080000,Duppigheim,Z
COLLEGE GREGOIRE DE TOURS,604,2 rue DU COLLEGE,67520,67282,Marlenheim,0,672820000,Marlenheim,Z
LYCEE PROFESSIONNEL PRIVE SAINTE THERESE,133,4 RUE DES ALLIES,67970,67355,Oermingen,0,673550000,Oermingen,Z
COLLEGE PAUL WERNERT,479,4 rue DU COLLEGE,67204,67001,Achenheim,0,670010000,Achenheim,Z
COLLEGE DE L'EICHEL,266,6  RUE DU COLLEGE,67430,67095,Diemeringen,0,670950000,Diemeringen,Z
COLLEGE DU GRAND RIED,458,5 rue DU COLLEGE,67920,67486,Sundhouse,0,674860000,Sundhouse,Z
COLLEGE JACQUES TATI,264,12 rue LOUIS PASTEUR,67580,67291,Mertzwiller,0,672910000,Mertzwiller,Z
COLLEGE TOMI UNGERER,237,RUE MARIE CURIE,67490,67089,Dettwiller,0,670890000,Dettwiller,Z
LYCEE GENERAL PRIVE SEMINAIRE DE  JEUNES,239,60 grand'rue,67360,67511,Walbourg,0,675110000,Walbourg,Z
COLLEGE PRIVE SEMINAIRE DE JEUNES,393,60 grand'rue,67360,67511,Walbourg,0,675110000,Walbourg,Z
COLLEGE GUSTAVE DORE,717,14 bis rue DE SCHERLENHEIM,67270,67202,Hochfelden,0,672020000,Hochfelden,Z
COLLEGE LES CIGOGNES,332,8 rue DES CIGOGNES,67150,67154,Gerstheim,0,671540000,Gerstheim,Z
COLLEGE DES DEUX RIVES,286,31  RUE DE LA CHASSE,67860,67397,Rhinau,0,673970000,Rhinau,Z
COLLEGE SEBASTIEN BRANT,649,5 rue DU COLLEGE,67114,67131,Eschau,0,671310000,Eschau,Z
COLLEGE CHARLES DE GAULLE,537,3 rue DU GENERAL DE GAULLE,67470,67463,Seltz,0,674630000,Seltz,Z
COLLEGE GEORGES HOLDERITH,318,8 rue DES GLACIS,67630,67261,Lauterbourg,0,672610000,Lauterbourg,Z
COLLEGE OLYMPE DE GOUGES,280,4 rue DU GYMNASE,67340,67222,Ingwiller,0,672220000,Ingwiller,Z
COLLEGE CHARLES MUNCH,371,4 rue DES SOEURS,67110,67324,Niederbronn-les-Bains,0,673240000,Niederbronn-les-Bains,Z
COLLEGE SUZANNE LALIQUE-HAVILAND,217,29 route DE ZITTERSHEIM,67290,67371,La Petite-Pierre,0,673710000,La Petite-Pierre,Z
COLLEGE MARECHAL DE MAC MAHON,439,2 rue VICTOR HUGO,67360,67550,Woerth,0,675500000,Woerth,Z
COLLEGE DES RACINES ET DES AILES,423,1 RUE DU COLLEGE,67320,67105,Drulingen,0,671050000,Drulingen,Z
COLLEGE DES CHATEAUX,532,23 route ROMAINE,67730,67073,Châtenois,0,670730000,Châtenois,Z
COLLEGE LEONARD DE VINCI,403,2 RUE ALBERT SCHWEITZER,67440,67408,Romanswiller,0,674080000,Romanswiller,Z
COLLEGE VAL DE MODER,431,13  RUE DE L'ECOLE,67350,67512,La Walck,0,675120000,La Walck,Z
LYCEE PROFESSIONNEL CAMILLE SCHNEIDER,336,13 avenue DE LA GARE,67120,67101,Dorlisheim,0,671010000,Dorlisheim,Z
COLLEGE JEAN JACQUES WALTZ,550,10 bis rue DES TABACS,67390,67281,Marckolsheim,0,672810000,Marckolsheim,Z
A.C.E.E.M.M. INSTITUT SAINT JOSEPH,374,1 rue CHANOINE E. MERTIAN,67150,67285,Matzenheim,0,672850000,Matzenheim,Z
COLLEGE HERRADE DE LANDSBERG,656,4 RUE DU STADE,67560,67411,Rosheim,0,674110000,Rosheim,Z
COLLEGE KOCHERSBERG,664,1 rue GODOFREDO PEREZ,67370,67495,Truchtersheim,0,674950000,Truchtersheim,Z
COLLEGE ROBERT SCHUMAN,707,6 rue DE LUXEMBOURG,67230,67028,Benfeld,0,670280000,Benfeld,Z
COLLEGE FRISON ROCHE,481,149 rue DU GENERAL DE GAULLE,67130,67448,Schirmeck,0,674480000,Schirmeck,Z
COLLEGE DU KLOSTERWALD,474,4 rue BELLE VUE,67220,67507,Villé,0,675070000,Villé,Z
COLLEGE DU RHIN,417,4 RUE DU COLLEGE,67410,67106,Drusenheim,0,671060000,Drusenheim,Z
COLLEGE DU BOIS FLEURI,428,Rue DES SPORTS,67590,67458,Schweighouse-sur-Moder,0,674580000,Schweighouse-sur-Moder,Z
COLLEGE -,310,1 rue DU COLLEGE,67850,67194,Herrlisheim,0,671940000,Herrlisheim,Z
COLLEGE DU BERNSTEIN,366,4 RUE DU COLLEGE,67650,67084,Dambach-la-Ville,0,670840000,Dambach-la-Ville,Z
COLLEGE DE L'OUTRE FORET,652,40 rue DE SELTZ,67250,67474,Soultz-sous-Forêts,0,674740000,Soultz-sous-Forêts,Z
LYCEE GENERAL ET TECHNOLOGIQUE ADRIEN ZELLER,564,4 place DU CHATEAU,67330,67061,Bouxwiller,0,670610000,Bouxwiller,Z
COLLEGE DU BASTBERG,570,Boulevard KOCH,67330,67061,Bouxwiller,0,670610000,Bouxwiller,Z
COLLEGE KATIA ET MAURICE KRAFFT,431,6 rue DU COLLEGE,67201,67118,Eckbolsheim,102,671180102,Sud,H
COLLEGE JEAN DE LA FONTAINE,613,1 rue DU COLLEGE,67118,67152,Geispolsheim,101,671520101,Ouest,H
COLLEGE PRIVE ECOLE DES MISSIONS AFRICAINES,575,1 rue DES MISSIONS AFRICAINES,67500,67180,Haguenau,202,671800202,Bildstoeckel Est,H
COLLEGE ALBERT CAMUS,585,38 route DE BETSCHDORF,67620,67180,Haguenau,205,671800205,Ceinture Foret Pres,D
COLLEGE FOCH,684,1 rue DU TOURNOI,67500,67180,Haguenau,102,671800102,Centre Ville Est,H
