value,destination_zone,origin_zone
1001,1,0
1002,1,2
1003,6,6
1004,110,110
1005,16,17
1006,125,125
1007,61,61
1008,20,20
1009,5,4
1010,3,3
1011,5,5
1012,11,11
1013,5,4
1014,10,10
1015,32,32
1016,3,3
1017,5,4
1018,3,3
1019,29,29
1020,2,2
1021,37,36
1022,16,16
1023,4,4
1024,7,7
1025,1,1
1026,12,12
1027,1,0
1028,13,13
1029,3,3
1030,23,24
1031,7,7
1032,17,17
1033,14,14
1034,29,29
1035,7,7
1036,2,2
1037,12,12
1038,7,7
1039,11,11
1040,26,26
1041,10,10
1042,3,3
1043,3,3
2001,7,8
2002,40,38
2003,35,36
2004,63,63
2005,25,26
2006,3,3
2007,42,41
2008,9,6
2009,44,45
2010,44,43
2011,20,20
2012,4,4
2014,9,9
2015,56,55
2016,76,74
2017,9,9
2018,1,1
2019,48,49
2020,14,13
3001,21,21
3002,19,18
3003,11,10
3004,50,51
3005,23,22
3006,19,21
3007,35,34
3008,8,8
3009,9,9
3010,11,12
3011,12,11
3012,30,27
3013,64,63
3014,10,10
3015,15,15
3016,14,15
3017,9,9
3018,3,3
3019,48,49
3020,54,54
3021,53,53
3022,29,29
3023,29,28
3024,1,1
3025,20,20
3026,3,3
4001,11,11
4002,7,7
4003,18,18
4004,44,45
4005,11,10
4006,8,8
4007,25,25
4008,74,73
4009,29,29
4010,58,57
4011,36,36
4012,16,16
4013,63,66
4014,24,24
4016,20,20
4017,1,1
4018,4,4
4019,17,18
4020,11,11
4021,12,12
4022,8,8
4023,24,24
4024,3,3
4025,16,17
4026,12,12
4027,4,4
4031,6,6
4032,17,17
4033,2,2
5001,7,7
5002,6,6
5003,3,3
5004,14,13
5005,8,7
5006,16,16
5007,24,24
5008,33,34
5009,4,4
5010,5,4
5011,4,4
5013,31,31
5014,44,44
5015,6,6
5016,12,11
5017,33,33
5018,32,32
5019,12,13
5020,12,12
5021,9,9
5022,6,6
5023,17,17
5024,5,6
5025,16,16
5026,0,1
5027,25,24
5028,14,14
5030,10,9
5031,1,2
5032,5,5
5033,6,6
5034,71,70
5035,4,4
5036,2,3
5037,9,8
5038,12,12
5039,21,21
5040,28,27
5041,11,11
5042,16,17
6001,1,2
6002,78,78
6003,11,11
6004,15,15
6005,23,23
6006,2,2
6007,25,26
6008,3,3
6009,80,79
6010,38,38
6011,31,30
6012,51,53
6013,41,41
6014,6,6
6015,1,1
6016,11,11
6017,9,9
6018,7,7
6019,5,4
6020,14,14
6021,42,42
6022,21,20
6023,2,2
6024,35,35
7001,48,47
7002,0,1
7003,30,31
7004,17,17
7005,14,17
7006,0,1
7007,16,16
7008,22,22
7009,90,88
7010,21,20
7011,45,45
7012,31,31
7013,37,37
7014,24,24
7015,27,28
7016,27,27
7017,39,39
7018,64,64
7019,11,11
7022,3,3
7023,9,10
7024,44,43
7025,27,27
7026,14,14
7027,25,25
8001,18,18
8002,82,82
8003,98,99
8004,60,62
8005,14,14
8006,65,65
8007,2,2
8008,35,37
8030,8,8
8031,32,31
8032,53,52
8033,13,13
8034,37,37
8035,24,23
8036,17,16
8037,39,40
8038,23,23
9001,29,27
9002,4,4
9003,10,10
9004,32,32
9005,21,21
9006,6,6
9007,15,16
9008,24,24
9009,22,22
9010,13,13
9011,27,27
9012,57,58
9013,72,73
9014,52,52
9015,28,28
9016,18,18
9017,31,32
9018,76,78
9019,24,24
9020,26,26
9021,19,19
9022,51,51
9023,12,14
9024,22,22
9025,6,6
9026,28,28
9027,2,2
9028,31,29
9029,71,70
9030,7,6
9031,3,3
9032,8,9
10001,12,12
10002,19,19
10003,48,48
10004,31,30
10005,40,40
10006,16,16
10007,16,16
10008,5,6
10009,8,9
10010,2,2
10011,16,16
10012,42,42
10013,23,23
10014,14,15
10015,31,30
10016,38,38
10017,16,16
10018,8,8
10019,27,26
10020,13,13
10021,13,13
10022,15,15
10023,11,12
10024,86,86
