,code_emd,CODE_IRIS,AREA,PERCENTAGE,Home,persons_EMD,persons_IRIS
3,001001,675260000,6391.57975264,0.1436231231,0,0.0,0.0
0,001001,670540000,4412972.59348,99.1624810354,0,0.0,0.0
1,001001,674380000,15137.9045211,0.34015896047,0,0.0,0.0
2,001001,675010000,13918.5630418,0.31275953214,0,0.0,0.0
4,001002,670860000,4022288.76941,99.6945441664,0,0.0,0.0
5,001002,673970000,9199.17553509,0.22800640735999997,0,0.0,0.0
7,001003,671540000,16431.8510603,0.16458204086,0,0.0,0.0
8,001003,673360000,405.740144157,0.00406390861,0,0.0,0.0
6,001003,671300104,9993556.40595,100.09583842200001,0,0.0,0.0
10,001004,671300102,476646.477376,74.28360431899999,001004,20.0,15.0
11,001004,671300103,46561.9693557,7.256512052660001,001004,20.0,1.0
9,001004,671300101,71701.2397795,11.174375093,001004,20.0,2.0
12,001004,671300104,51734.1629526,8.062579443999999,001004,20.0,2.0
14,001005,671300103,63050.7990123,11.0130033522,001005,8.0,1.0
15,001005,671300104,507163.53703,88.58561383680001,001005,8.0,7.0
13,001005,671300102,2530.37411025,0.44197724683999995,001005,8.0,0.0
16,001006,671300103,626323.689088,99.6867051572,001006,26.0,26.0
18,001007,671300102,4393.85445762,0.8049883987,001007,34.0,1.0
19,001007,671300104,120182.759092,22.0184186175,001007,34.0,7.0
17,001007,671300101,420017.148104,76.9504167098,001007,34.0,26.0
21,001008,671300104,1109069.75654,98.295977546,001008,5.0,5.0
20,001008,671300102,15029.7890156,1.3320783430299998,001008,5.0,0.0
22,001009,671300103,280425.323758,99.9999999999,0,0.0,0.0
23,001010,671300101,436740.344858,62.088403767200006,0,0.0,0.0
24,001010,671300104,266113.007509,37.8314759616,0,0.0,0.0
25,001011,671300104,457011.1659,100.000000751,001011,4.0,4.0
26,001012,671300104,413427.937924,100.00000568600001,001012,7.0,7.0
27,001013,671300104,733463.170647,100.000000747,001013,2.0,2.0
28,001014,671300104,979180.341676,100.0,0,0.0,0.0
30,001015,673640000,1440.75611034,0.11044962726,0,0.0,0.0
29,001015,671300103,1285010.36694,98.51002194770001,0,0.0,0.0
31,001015,674380000,14858.3799234,1.13905643878,0,0.0,0.0
32,001016,671300103,1423146.45678,20.7755458198,0,0.0,0.0
35,001016,673640000,86519.2643448,1.26303581204,0,0.0,0.0
33,001016,671300104,5303088.48021,77.4161767977,0,0.0,0.0
34,001016,671540000,35997.5370641,0.5255035257399999,0,0.0,0.0
36,001017,671300101,8713.34494543,0.31310476808000004,0,0.0,0.0
37,001017,671300104,2774297.43408,99.6914227684,0,0.0,0.0
39,001018,671300103,5229395.56268,63.023543654300006,0,0.0,0.0
43,001018,674380000,14627.1937699,0.17628377392,0,0.0,0.0
41,001018,672660000,3391.94259231,0.04087895809,0,0.0,0.0
40,001018,671300104,775795.348229,9.34971765089,0,0.0,0.0
42,001018,673360000,56739.9504075,0.6838176035,0,0.0,0.0
38,001018,671300101,2220242.56717,26.757882948000002,0,0.0,0.0
