chain_iris_n;index;index;index;index;index;index;index;index;index
;Accompany;Home;Home_getaway;Leisure;Other;School;Shopping;University;Work
670010000;14;83;0;18;1;24;14;0;10
670020000;1;5;0;1;0;0;0;0;3
670030000;8;29;0;3;4;9;2;0;3
670040000;4;22;0;6;0;0;0;0;5
670060000;0;1;0;2;0;0;0;0;0
670080000;0;17;0;4;1;1;2;0;6
670100000;5;27;0;16;0;4;8;0;14
670110000;6;40;0;9;0;2;3;0;0
670120000;3;7;0;3;0;0;1;0;0
670160000;6;14;0;3;0;2;3;0;0
670180000;1;5;0;1;0;0;0;0;1
670190000;5;9;0;6;0;5;2;0;5
670200000;0;14;0;4;0;0;1;0;1
670210101;49;92;0;25;4;52;26;0;26
670210102;59;217;5;37;11;18;24;0;31
670220000;4;3;0;4;2;6;0;0;0
670230000;2;26;0;6;1;2;4;0;2
670250000;8;42;0;10;0;7;9;0;6
670260000;0;1;0;0;0;0;0;0;0
670270000;1;4;0;0;0;0;0;0;2
670280000;25;34;0;18;6;4;17;0;24
670290000;0;0;0;1;0;2;0;0;1
670300000;6;11;0;0;3;2;0;0;2
670310000;5;13;0;8;0;0;2;0;0
670330000;1;2;0;1;1;0;3;0;2
670340000;2;55;0;24;0;8;3;0;8
670350000;1;3;0;0;0;0;0;0;0
670360000;0;10;0;0;0;0;0;0;0
670370000;0;6;0;2;0;0;0;0;0
670380000;0;6;0;0;0;0;0;0;0
670390000;2;2;0;0;0;3;0;0;0
670400000;10;23;0;6;6;6;1;0;8
670430101;2;2;0;4;0;0;1;1;12
670430102;24;25;0;11;2;31;17;0;10
670430103;5;56;0;13;0;6;1;1;13
670430104;15;52;0;23;0;4;5;0;11
670430201;8;36;0;12;1;6;3;0;9
670430202;7;35;0;4;2;4;1;0;4
670430203;28;16;0;4;2;14;2;0;2
670430204;9;90;0;20;0;2;2;0;4
670440000;0;4;0;0;1;0;0;0;0
670450000;30;68;0;11;3;11;7;0;10
670460101;3;25;3;5;3;3;2;0;6
670460102;8;25;0;8;0;1;10;0;15
670460103;2;22;0;2;3;0;5;0;9
670460104;6;23;0;5;3;1;3;0;4
670460105;15;36;0;22;0;14;7;0;12
670470000;0;4;0;0;0;0;0;0;0
670480000;3;16;0;2;0;0;0;0;0
670490000;3;26;0;6;0;8;2;0;1
670510000;0;14;0;0;1;0;0;0;2
670520000;4;57;0;18;6;0;4;0;8
670530000;0;0;0;4;1;0;0;0;0
670550000;5;21;0;3;0;2;7;0;2
670560000;2;6;0;1;0;0;0;0;0
670570000;5;29;0;4;0;1;0;0;2
670580000;0;8;0;0;3;0;0;0;1
670590000;4;17;0;0;3;2;0;0;0
670600000;1;8;0;0;0;0;1;0;0
670610000;28;47;0;24;2;18;22;2;22
670630000;0;13;0;5;2;2;0;0;2
670650000;4;23;0;6;3;0;3;0;2
670660000;28;38;0;5;1;21;12;0;9
670670101;15;45;2;15;2;6;2;0;20
670670102;24;51;0;14;3;9;15;0;13
670670103;12;36;1;15;2;3;11;0;24
670670104;7;28;0;15;3;4;15;0;13
670680000;0;7;0;0;0;2;0;0;0
670690000;0;4;0;0;0;0;0;0;0
670700000;0;3;0;1;0;1;0;0;0
670720000;0;9;0;3;0;0;0;0;0
670730000;26;140;0;34;6;24;18;0;35
670740000;0;0;0;0;0;0;0;0;1
670750000;0;3;0;2;0;0;0;0;0
670760000;0;0;0;1;0;0;0;0;1
670770000;3;21;0;2;2;0;0;0;1
670780000;2;2;0;1;0;2;0;0;0
670790000;0;4;0;1;0;0;0;0;0
670800000;2;5;0;1;1;0;1;0;4
670810000;0;1;2;3;0;0;0;0;3
670820000;0;6;0;2;0;0;0;0;0
670830000;2;0;0;0;1;0;0;0;1
670840000;19;80;0;17;1;7;20;0;24
670850000;2;9;0;0;0;4;0;0;2
670860000;0;0;0;0;0;0;0;0;1
670870000;10;28;0;2;0;0;0;0;1
670880000;0;0;0;5;0;0;0;0;0
670890000;6;49;0;8;1;0;9;0;9
670900000;0;7;1;0;0;0;1;0;1
670920000;1;12;0;2;0;0;1;0;2
670930000;0;10;0;0;0;3;0;0;1
670940000;0;0;0;3;0;0;0;0;3
670950000;5;8;0;4;0;2;6;0;4
670960000;0;0;0;1;0;0;0;0;0
670970000;3;55;0;11;2;0;0;0;0
670980000;5;15;0;2;0;0;1;0;1
671000000;0;0;0;1;0;0;0;0;0
