emd_zone;iris_zone;activity_amount
001002;670860000;1
001003;671300104;6
001004;671300101;9
001004;671300102;82
001004;671300103;6
001004;671300104;9
001005;671300103;1
001005;671300104;16
001006;671300103;121
001007;671300101;47
001007;671300102;2
001007;671300104;11
001008;671300104;20
001009;671300103;4
001010;671300101;2
001011;671300104;5
001012;671300104;11
001013;671300104;4
001014;671300104;10
001015;671300103;32
001016;671300104;3
001017;671300104;4
001018;671300103;2
001019;671300102;29
001020;671540000;2
001021;671540000;36
001022;671540000;16
001023;671540000;4
001024;671540000;7
001026;671970000;12
001028;672000000;13
001029;672170000;3
001030;672660000;22
001031;673360000;7
001032;673360000;17
001033;673360000;14
001034;673360000;29
001035;673360000;7
001036;673380000;2
001037;673380000;12
001038;673380000;7
001039;673640000;11
001040;674380000;26
001041;675010000;10
001042;675260000;3
001043;672170000;3
002001;670010000;6
002001;673500000;1
002002;670010000;37
002003;670010000;33
002004;670010000;59
002005;670010000;26
002006;670010000;3
002007;670650000;40
002007;672260000;1
002008;671080000;6
002009;671080000;43
002010;671080000;43
002011;671080000;16
002011;671120000;3
002012;671080000;4
002014;670650000;1
002014;671820000;8
002015;671820000;53
002016;671820000;74
002017;671820000;8
002017;672120000;1
002018;671820000;1
002019;672470000;49
002020;673630000;13
003001;670340000;21
003002;670340000;18
003003;670340000;10
003004;670340000;50
003005;671090000;22
003006;671630000;19
003007;671730000;31
003008;671380000;1
003008;672280000;7
003009;672280000;9
003010;672360000;12
003011;672530000;11
003012;674950000;27
003013;673750000;64
003014;674060000;10
003015;674520000;15
003016;674520000;15
003017;674520000;9
003018;670340000;1
003018;674950000;2
003019;674950000;48
003020;674950000;53
003021;674950000;53
003022;674950000;29
003023;674950000;28
003024;675320000;1
003025;675320000;20
003026;675320000;3
004001;670330000;10
004001;670670101;1
004002;670390000;7
004003;670670101;1
004003;670670103;4
004003;670670104;12
004004;670670103;45
004005;670670103;10
004006;670670101;7
004007;670670101;25
004008;670670101;56
004008;670670102;17
004009;670670102;29
004010;670670102;46
004010;670670103;11
004011;670670102;36
004012;670670102;1
004012;670670103;4
004012;670670104;11
004013;670670103;17
004013;670670104;48
004014;670670101;17
004014;670670103;7
004016;670670103;6
004016;670670104;14
004017;671000000;1
004018;671560000;3
004019;671560000;18
004020;671560000;11
004021;672490000;12
004022;672500000;8
004023;672980000;24
004024;673010000;3
004025;673010000;15
004026;673010000;12
004027;673010000;4
004031;673010000;6
004032;673610000;17
004033;674170000;2
005001;670380000;6
005002;671510000;6
005003;671510000;3
005004;671510000;13
005005;671510000;7
005006;671510000;16
005007;671510000;24
005008;671510000;34
005009;671510000;3
005010;671510000;4
005011;671690000;4
005013;671690000;30
005014;671690000;40
005015;672050000;6
005016;672050000;11
005017;672050000;33
005018;672050000;31
005019;672050000;13
005020;672050000;11
005021;672050000;9
005022;672050000;6
005023;672050000;16
005024;672370000;5
005025;672370000;13
005026;672370000;1
005027;672370000;24
005028;672370000;13
005030;672370000;7
005031;672520000;2
005032;672520000;5
005033;672520000;6
005034;675230000;66
005035;675290000;4
005036;675290000;3
005037;675290000;8
005038;675290000;9
005039;675290000;20
005040;675290000;23
005041;675290000;11
005042;675290000;16
006001;671310000;2
006002;671310000;78
006003;671310000;11
006004;671310000;15
006005;671310000;22
006006;671310000;2
006007;671310000;26
006008;671370000;3
006009;671370000;71
006009;672170000;6
006010;671370000;38
006011;671370000;30
006012;671370000;51
006013;671370000;39
006014;671370000;5
006015;672680000;1
006016;672680000;11
006017;672680000;9
006018;672680000;7
006019;672680000;4
006020;673780000;14
006021;673780000;42
006022;673780000;20
006023;673780000;2
006024;673780000;35
007001;670490000;46
007002;671240000;1
007003;671240000;30
007004;671240000;17
007005;671080000;1
007005;671240000;14
007007;671240000;16
007008;671520101;14
007008;671520102;6
007009;671520101;88
007010;671520101;20
007011;671520101;44
007012;671520102;30
007013;671520102;37
007014;671520102;24
007015;671520102;27
007016;671520102;27
007017;671520102;37
007018;671520102;62
007019;671520102;10
007022;672120000;3
007023;672120000;9
007024;672120000;43
007025;672120000;24
007026;672120000;14
007027;672120000;24
008001;671180101;6
008001;671180102;10
008001;673430000;1
008002;671180102;81
008003;671180102;86
008004;671180101;33
008004;671180102;24
008005;671180102;14
008006;671180101;64
008007;671180102;2
008008;671180101;35
008030;673500000;8
008031;673500000;29
008032;673500000;52
008033;671180102;1
008033;675510000;11
008034;675510000;37
008035;675510000;21
008036;675510000;16
008037;671180102;3
008037;675510000;35
008038;675510000;23
009001;671190000;29
009002;672560000;4
009003;672560000;10
009004;672560000;32
009005;672560000;20
009006;672560000;6
009007;672560000;14
009008;672560000;24
009009;673090101;1
009009;673090102;20
009009;673260000;1
009010;673090102;13
009011;672560000;2
009011;673090101;23
009011;673090102;2
009012;673090101;56
009012;673090102;2
009013;673090101;16
009013;673090102;57
009014;673090102;52
009015;673090102;27
009016;673090101;17
009016;673890000;1
009017;672560000;1
009017;673090101;29
009018;673090101;75
009018;673890000;2
009019;675060101;1
009019;675060102;22
009020;675060101;25
009020;675060102;1
009021;675060101;19
009022;675060101;26
009022;675060102;24
009023;675060102;14
009024;675060101;3
009024;675060102;16
009025;675060101;3
009025;675060102;3
009026;675060101;6
009026;675060102;22
009027;675060101;2
009028;675060102;29
009029;673090101;1
009029;675060102;68
009030;675060102;6
009031;675060102;2
009032;672560000;1
009032;675060102;8
010001;673890000;12
010002;673890000;19
010003;673890000;47
010004;673890000;29
010005;673890000;42
010006;673090101;2
010006;673890000;14
010007;673890000;15
010008;673890000;6
010009;673890000;9
010010;673890000;2
010011;674710101;6
010011;674710102;10
010012;673890000;2
010012;674710101;25
010012;674710102;15
010013;674710101;13
010013;674710102;10
010014;674710101;15
010015;674710101;30
010016;674710102;38
010017;674710102;16
010018;674710101;8
010019;674710101;26
010020;674710101;13
010021;675190101;2
010021;675190102;11
010022;675190102;15
010023;675190101;11
010023;675190102;1
010024;675190101;41
010024;675190102;44
010025;675190101;58
010025;675190102;5
010026;675190102;7
010027;675190102;3
010028;675190102;4
010029;675190102;15
011001;672180302;7
011001;672180303;42
011002;672180102;6
011002;672180302;22
011002;672180303;13
011003;672180101;2
011003;672180201;17
011003;672180303;103
011004;672180301;100
011005;672180201;56
011006;672180201;39
011007;672180202;58
011008;672180201;18
011009;672180201;148
011009;674822703;1
011010;672180202;11
011011;672180201;1
011011;672180203;19
011012;672180201;8
011012;672180303;2
011013;672180201;99
011014;672180201;70
011014;672180203;7
011015;672180201;19
011015;674822501;5
012001;672180101;3
012001;672180102;55
012001;672180103;3
012002;672180102;43
012002;672180104;33
012003;672180103;13
012003;672180104;18
012004;672180103;3
012004;672180104;74
012005;672180103;52
012005;672180202;15
012005;673650105;2
012006;672180104;55
012007;672180103;80
012008;672180102;29
012008;672180104;10
012009;672180101;50
012010;672180104;23
012011;671520102;1
012011;672180103;32
012011;673650105;1
013001;671180102;3
013001;672670101;55
013002;672670101;84
013003;671180102;1
013003;672670102;50
013004;672670102;4
013005;672670202;46
013005;672670203;74
013005;673650101;4
013006;672670203;53
013006;673650101;3
013007;672670201;46
013007;672670202;8
013007;672670302;4
013008;672670301;69
013009;672670301;10
013010;672670302;25
013011;672670302;59
013012;672670201;3
013012;674821402;1
014001;673650102;92
014001;674821401;1
014002;673650103;23
014002;673650104;42
014003;673650101;19
014003;673650104;27
014004;673650102;6
014004;673650103;9
014004;673650104;17
014005;673650102;14
014005;673650105;102
014006;673650105;28
